,Taxonomy,Country,Cumulative_Count,Count
44495,Nodaviridae,Belize,52,6
44496,Nodaviridae,Brazil,57,5
44497,Nodaviridae,Canada,62,5
44498,Nodaviridae,China,213,151
44499,Nodaviridae,Cote d'Ivoire,217,4
44500,Nodaviridae,Croatia,221,4
44501,Nodaviridae,Cyprus,239,18
44502,Nodaviridae,Czech Republic,246,7
44503,Nodaviridae,Egypt,250,4
44504,Nodaviridae,France,421,171
44505,Nodaviridae,French Polynesia,425,4
44506,Nodaviridae,Ghana,426,1
44507,Nodaviridae,Greece,527,101
44508,Nodaviridae,India,607,80
44509,Nodaviridae,Indonesia,621,14
44510,Nodaviridae,Iran,626,5
44511,Nodaviridae,Israel,801,175
44512,Nodaviridae,Italy,1081,280
44513,Nodaviridae,Japan,1145,64
44514,Nodaviridae,Korea,1148,3
44515,Nodaviridae,Malaysia,1215,67
44516,Nodaviridae,Malta,1216,1
44517,Nodaviridae,New Zealand,1217,1
44518,Nodaviridae,Norway,1265,48
44519,Nodaviridae,Papua New Guinea,1266,1
44520,Nodaviridae,Peru,1274,8
44521,Nodaviridae,Philippines,1275,1
44522,Nodaviridae,Portugal,1337,62
44523,Nodaviridae,Republic of the Congo,1339,2
44524,Nodaviridae,Singapore,1343,4
44525,Nodaviridae,South Korea,1520,177
44526,Nodaviridae,Spain,1614,94
44527,Nodaviridae,Sweden,1634,20
44528,Nodaviridae,Taiwan,1704,70
44529,Nodaviridae,Thailand,1714,10
44530,Nodaviridae,Tunisia,1790,76
44531,Nodaviridae,Turkey,1796,6
44532,Nodaviridae,USA,1892,96
44533,Nodaviridae,United Kingdom,1908,16
44534,Nodaviridae,Viet Nam,1911,3
44535,Nodaviridae sp.,China,24,24
44536,Nodaviridae sp.,USA,34,10
44537,Nodensvirus,United Kingdom,488,488
44538,Nodularia phage vB_NspS-kac65v161,Sweden,206,206
44539,Nodularia phage vB_NspS-kac65v162,Sweden,206,206
44540,Nodularia phage vB_NspS-kac68v162,Sweden,195,195
44541,Nodularia virus kac65v151,Sweden,412,412
44542,Nodularia virus kac68v161,Sweden,396,396
44543,Noehsivirus,USA,3,3
44544,Noehsivirus tellurivicinum,USA,3,3
44545,Nohivirus,Spain,86,86
44546,Nohivirus S31C1,Spain,86,86
44547,Nome phantom orthophasmavirus,USA,219,219
44548,Nonagvirus,Cote d'Ivoire,88,88
44549,Nonagvirus,Germany,282,194
44550,Nonagvirus,Switzerland,467,185
44551,Nonanavirus,USA,270,270
44552,Noni mosaic virus,China,5,5
44553,Noni virus 1,China,1,1
44554,Nonlabens virus P12024L,South Korea,234,234
44555,Nootka lupine vein clearing virus,USA,10,10
44556,Nora virus,Australia,9,9
44557,Nora virus,France,21,12
44558,Nora virus,Ghana,55,34
44559,Nora virus,Greece,67,12
44560,Nora virus,Italy,69,2
44561,Nora virus,Japan,73,4
44562,Nora virus,Kenya,82,9
44563,Nora virus,Morocco,97,15
44564,Nora virus,Netherlands,99,2
44565,Nora virus,South Africa,110,11
44566,Nora virus,Sweden,114,4
44567,Nora virus,USA,139,25
44568,Nordenskjold virus,Antarctica,2,2
44569,Nordland virus,Canada,2,2
44570,Nordland virus,Norway,8,6
44571,Norovirus,Albania,13,13
44572,Norovirus,Angola,56,43
44573,Norovirus,Argentina,388,332
44574,Norovirus,Australia,1710,1322
44575,Norovirus,Austria,1715,5
44576,Norovirus,Bangladesh,1865,150
44577,Norovirus,Belarus,2001,136
44578,Norovirus,Belgium,2515,514
44579,Norovirus,Bhutan,2768,253
44580,Norovirus,Botswana,2920,152
44581,Norovirus,Brazil,6840,3920
44582,Norovirus,Bulgaria,6910,70
44583,Norovirus,Burkina Faso,7040,130
44584,Norovirus,Cambodia,7147,107
44585,Norovirus,Cameroon,7338,191
44586,Norovirus,Canada,7919,581
44587,Norovirus,Central African Republic,7931,12
44588,Norovirus,Chile,8023,92
44589,Norovirus,China,21399,13376
44590,Norovirus,Costa Rica,21444,45
44591,Norovirus,Croatia,21454,10
44592,Norovirus,Denmark,21623,169
44593,Norovirus,Djibouti,21629,6
44594,Norovirus,Dominican Republic,21630,1
44595,Norovirus,Ecuador,21632,2
44596,Norovirus,Egypt,21673,41
44597,Norovirus,Ethiopia,21803,130
44598,Norovirus,Finland,21878,75
44599,Norovirus,France,22269,391
44600,Norovirus,French Guiana,22301,32
44601,Norovirus,Gabon,22352,51
44602,Norovirus,Germany,23837,1485
44603,Norovirus,Ghana,23947,110
44604,Norovirus,Greece,24242,295
44605,Norovirus,Guatemala,24265,23
44606,Norovirus,Honduras,24273,8
44607,Norovirus,Hong Kong,24941,668
44608,Norovirus,Hungary,25052,111
44609,Norovirus,India,28053,3001
44610,Norovirus,Indonesia,28364,311
44611,Norovirus,Iran,28466,102
44612,Norovirus,Iraq,28508,42
44613,Norovirus,Ireland,28968,460
44614,Norovirus,Israel,29024,56
44615,Norovirus,Italy,29979,955
44616,Norovirus,Japan,37929,7950
44617,Norovirus,Jordan,37956,27
44618,Norovirus,Kenya,38047,91
44619,Norovirus,Korea,38051,4
44620,Norovirus,Kuwait,38065,14
44621,Norovirus,Lebanon,38146,81
44622,Norovirus,Libya,38173,27
44623,Norovirus,Luxembourg,38467,294
44624,Norovirus,Madagascar,38480,13
44625,Norovirus,Malawi,38483,3
44626,Norovirus,Malaysia,38589,106
44627,Norovirus,Malta,38620,31
44628,Norovirus,Mexico,39106,486
44629,Norovirus,Mongolia,39116,10
44630,Norovirus,Morocco,39191,75
44631,Norovirus,Nepal,39304,113
44632,Norovirus,Netherlands,39746,442
44633,Norovirus,New Zealand,40246,500
44634,Norovirus,Nicaragua,40373,127
44635,Norovirus,Nigeria,40454,81
44636,Norovirus,Norway,40523,69
44637,Norovirus,Pakistan,40532,9
44638,Norovirus,Paraguay,40628,96
44639,Norovirus,Peru,40819,191
44640,Norovirus,Philippines,40820,1
44641,Norovirus,Poland,40824,4
44642,Norovirus,Portugal,40837,13
44643,Norovirus,Qatar,40849,12
44644,Norovirus,Romania,40855,6
44645,Norovirus,Russia,43390,2535
44646,Norovirus,Saudi Arabia,43456,66
44647,Norovirus,Senegal,43548,92
44648,Norovirus,Serbia,43562,14
44649,Norovirus,Singapore,44020,458
44650,Norovirus,Slovenia,44163,143
44651,Norovirus,South Africa,45341,1178
44652,Norovirus,South Korea,51666,6325
44653,Norovirus,Spain,52923,1257
44654,Norovirus,Sri Lanka,52956,33
44655,Norovirus,Sweden,53721,765
44656,Norovirus,Switzerland,53735,14
44657,Norovirus,Taiwan,54865,1130
44658,Norovirus,Tanzania,54930,65
44659,Norovirus,Thailand,57980,3050
44660,Norovirus,Tunisia,58212,232
44661,Norovirus,Turkey,58312,100
44662,Norovirus,USA,60963,2651
44663,Norovirus,Uganda,60966,3
44664,Norovirus,United Kingdom,61917,951
44665,Norovirus,Uruguay,62039,122
44666,Norovirus,Venezuela,62063,24
44667,Norovirus,Viet Nam,64104,2041
44668,Norovirus Hu/Afyon/65/2007/TR,Turkey,1,1
44669,Norovirus sp.,Australia,3,3
44670,Norovirus sp.,Brazil,16,13
44671,Norovirus sp.,China,162,146
44672,Norovirus sp.,Mexico,174,12
44673,Norovirus sp.,Portugal,175,1
44674,North American arenavirus strain B0940005,USA,1,1
44675,North American arenavirus strain F0190012,USA,1,1
44676,North American arenavirus strain P0070018,USA,1,1
44677,North shore virus,Australia,2,2
44678,Northcreek ohlsrhavirus,Australia,10,10
44679,Northern bat adenovirus 1,Germany,2,2
44680,Northern cereal mosaic cytorhabdovirus,Japan,9,9
44681,Northern cereal mosaic cytorhabdovirus,South Korea,10,1
44682,Northern elephant seal herpesvirus,USA,1,1
44683,Northern fur seal polyoma virus,USA,1,1
44684,Northern red-backed vole stool-associated alphasatellite 129,Russia,2,2
44685,Northern red-backed vole stool-associated circular virus 11,Russia,2,2
44686,Northern red-backed vole stool-associated circular virus 116,Russia,3,3
44687,Northern red-backed vole stool-associated circular virus 117,Russia,2,2
44688,Northern red-backed vole stool-associated circular virus 16,Russia,2,2
44689,Northern red-backed vole stool-associated circular virus 68,Russia,3,3
44690,Norwalk virus,Albania,13,13
44691,Norwalk virus,Angola,56,43
44692,Norwalk virus,Argentina,388,332
44693,Norwalk virus,Australia,1707,1319
44694,Norwalk virus,Austria,1712,5
44695,Norwalk virus,Bangladesh,1862,150
44696,Norwalk virus,Belarus,1998,136
44697,Norwalk virus,Belgium,2512,514
44698,Norwalk virus,Bhutan,2765,253
44699,Norwalk virus,Botswana,2917,152
44700,Norwalk virus,Brazil,6824,3907
44701,Norwalk virus,Bulgaria,6894,70
44702,Norwalk virus,Burkina Faso,7024,130
44703,Norwalk virus,Cambodia,7131,107
44704,Norwalk virus,Cameroon,7322,191
44705,Norwalk virus,Canada,7903,581
44706,Norwalk virus,Central African Republic,7915,12
44707,Norwalk virus,Chile,8007,92
44708,Norwalk virus,China,21235,13228
44709,Norwalk virus,Costa Rica,21280,45
44710,Norwalk virus,Croatia,21290,10
44711,Norwalk virus,Denmark,21459,169
44712,Norwalk virus,Djibouti,21465,6
44713,Norwalk virus,Dominican Republic,21466,1
44714,Norwalk virus,Ecuador,21468,2
44715,Norwalk virus,Egypt,21509,41
44716,Norwalk virus,Ethiopia,21639,130
44717,Norwalk virus,Finland,21714,75
44718,Norwalk virus,France,22105,391
44719,Norwalk virus,French Guiana,22137,32
44720,Norwalk virus,Gabon,22188,51
44721,Norwalk virus,Germany,23673,1485
44722,Norwalk virus,Ghana,23783,110
44723,Norwalk virus,Greece,24078,295
44724,Norwalk virus,Guatemala,24101,23
44725,Norwalk virus,Honduras,24109,8
44726,Norwalk virus,Hong Kong,24768,659
44727,Norwalk virus,Hungary,24879,111
44728,Norwalk virus,India,27880,3001
44729,Norwalk virus,Indonesia,28191,311
44730,Norwalk virus,Iran,28293,102
44731,Norwalk virus,Iraq,28335,42
44732,Norwalk virus,Ireland,28795,460
44733,Norwalk virus,Israel,28851,56
44734,Norwalk virus,Italy,29806,955
44735,Norwalk virus,Japan,37266,7460
44736,Norwalk virus,Jordan,37293,27
44737,Norwalk virus,Kenya,37384,91
44738,Norwalk virus,Korea,37388,4
44739,Norwalk virus,Kuwait,37402,14
44740,Norwalk virus,Lebanon,37483,81
44741,Norwalk virus,Libya,37510,27
44742,Norwalk virus,Luxembourg,37804,294
44743,Norwalk virus,Madagascar,37817,13
44744,Norwalk virus,Malawi,37820,3
44745,Norwalk virus,Malaysia,37926,106
44746,Norwalk virus,Malta,37957,31
44747,Norwalk virus,Mexico,38431,474
44748,Norwalk virus,Mongolia,38441,10
44749,Norwalk virus,Morocco,38516,75
44750,Norwalk virus,Nepal,38629,113
44751,Norwalk virus,Netherlands,39071,442
44752,Norwalk virus,New Zealand,39571,500
44753,Norwalk virus,Nicaragua,39698,127
44754,Norwalk virus,Nigeria,39779,81
44755,Norwalk virus,Norway,39848,69
44756,Norwalk virus,Pakistan,39857,9
44757,Norwalk virus,Paraguay,39953,96
44758,Norwalk virus,Peru,40144,191
44759,Norwalk virus,Philippines,40145,1
44760,Norwalk virus,Poland,40149,4
44761,Norwalk virus,Portugal,40161,12
44762,Norwalk virus,Qatar,40173,12
44763,Norwalk virus,Romania,40179,6
44764,Norwalk virus,Russia,42714,2535
44765,Norwalk virus,Saudi Arabia,42780,66
44766,Norwalk virus,Senegal,42872,92
44767,Norwalk virus,Serbia,42886,14
44768,Norwalk virus,Singapore,43344,458
44769,Norwalk virus,Slovenia,43487,143
44770,Norwalk virus,South Africa,44665,1178
44771,Norwalk virus,South Korea,50990,6325
44772,Norwalk virus,Spain,52247,1257
44773,Norwalk virus,Sri Lanka,52280,33
44774,Norwalk virus,Sweden,53045,765
44775,Norwalk virus,Switzerland,53059,14
44776,Norwalk virus,Taiwan,54189,1130
44777,Norwalk virus,Tanzania,54254,65
44778,Norwalk virus,Thailand,57304,3050
44779,Norwalk virus,Tunisia,57536,232
44780,Norwalk virus,Turkey,57636,100
44781,Norwalk virus,USA,60286,2650
44782,Norwalk virus,Uganda,60289,3
44783,Norwalk virus,United Kingdom,61240,951
44784,Norwalk virus,Uruguay,61362,122
44785,Norwalk virus,Venezuela,61386,24
44786,Norwalk virus,Viet Nam,63427,2041
44787,Norwavirus,Belgium,2,2
44788,Norway ixovirus,Norway,14,14
44789,Norway luteo-like virus 1,Norway,3,3
44790,Norway luteo-like virus 2,Norway,2,2
44791,Norway luteo-like virus 3,Norway,1,1
44792,Norway luteo-like virus 4,Norway,3,3
44793,Norway mononegavirus 1,Norway,10,10
44794,Norway nairovirus 1,Norway,10,10
44795,Norway partiti-like virus 1,Norway,4,4
44796,Norway rat arterivirus,USA,2,2
44797,Norway rat hunnivirus,China,1,1
44798,Norway rat hunnivirus,USA,3,2
44799,Norway rat kobuvirus 1,USA,29,29
44800,Norway rat kobuvirus 2,USA,2,2
44801,Norway rat pegivirus,USA,21,21
44802,Norway rat pestivirus,USA,1,1
44803,Norwegian salmonid alphavirus,Norway,29,29
44804,Notopteran flavi-related virus,South Africa,1,1
44805,Notori virus,Japan,1,1
44806,Notsystermes virus,Australia,1,1
44807,Noumeavirus,New Caledonia,904,904
44808,Nounane virus,Cote d'Ivoire,3,3
44809,Nouzillyvirus,China,151,151
44810,Nouzillyvirus,France,309,158
44811,Nova mobatvirus,Belgium,118,118
44812,Nova mobatvirus,France,200,82
44813,Nova mobatvirus,Hungary,203,3
44814,Nova mobatvirus,Poland,323,120
44815,Noveria virus,USA,1,1
44816,Novirhabdovirus,Austria,58,58
44817,Novirhabdovirus,Canada,144,86
44818,Novirhabdovirus,China,298,154
44819,Novirhabdovirus,Croatia,302,4
44820,Novirhabdovirus,Czech Republic,305,3
44821,Novirhabdovirus,Denmark,814,509
44822,Novirhabdovirus,Finland,889,75
44823,Novirhabdovirus,France,1180,291
44824,Novirhabdovirus,Georgia,1190,10
44825,Novirhabdovirus,Germany,1635,445
44826,Novirhabdovirus,Iceland,1639,4
44827,Novirhabdovirus,India,1644,5
44828,Novirhabdovirus,Iran,1694,50
44829,Novirhabdovirus,Italy,2113,419
44830,Novirhabdovirus,Japan,2243,130
44831,Novirhabdovirus,Kenya,2258,15
44832,Novirhabdovirus,Netherlands,2273,15
44833,Novirhabdovirus,Norway,2342,69
44834,Novirhabdovirus,Poland,2348,6
44835,Novirhabdovirus,Russia,2352,4
44836,Novirhabdovirus,Slovenia,2374,22
44837,Novirhabdovirus,South Korea,2543,169
44838,Novirhabdovirus,Spain,2573,30
44839,Novirhabdovirus,Sweden,2614,41
44840,Novirhabdovirus,Switzerland,2676,62
44841,Novirhabdovirus,Tunisia,2677,1
44842,Novirhabdovirus,Turkey,2708,31
44843,Novirhabdovirus,USA,3168,460
44844,Novirhabdovirus,United Kingdom,3184,16
44845,Novosibovirus,Russia,92,92
44846,Novosibovirus,United Kingdom,146,54
44847,Novosibvirus,Egypt,409,409
44848,Novosibvirus,India,539,130
44849,Novosibvirus,Russia,743,204
44850,Novosibvirus,USA,1039,296
44851,Novosphingobium phage N-AFCF0628-8,Japan,1,1
44852,Novosphingobium phage N-AFCF0628-9,Japan,1,1
44853,Novosphingobium phage N-AFCF0707-14,Japan,1,1
44854,Novosphingobium phage N-AFCF0707-15,Japan,1,1
44855,Novosphingobium phage N-AFCF0707-16,Japan,1,1
44856,Novosphingobium phage N-AFCF0714-51,Japan,1,1
44857,Novosphingobium phage N-AFCF0802-21,Japan,1,1
44858,Novosphingobium phage N-AFCF0802-22,Japan,1,1
44859,Novosphingobium phage N-AFCF0810-26,Japan,1,1
44860,Novosphingobium phage N-AFCF0824-32,Japan,1,1
44861,Novosphingobium phage N-AFCF0901-37,Japan,1,1
44862,Novosphingobium phage N-AFCF0901-89,Japan,1,1
44863,Novosphingobium phage N-AFCM0615-3,Japan,1,1
44864,Novosphingobium phage N-AFCM0628-11,Japan,1,1
44865,Novosphingobium phage N-AFCM0714-52,Japan,1,1
44866,Novosphingobium phage N-AFCM0802-86,Japan,1,1
44867,Novosphingobium phage N-AFCM0810-27,Japan,1,1
44868,Novosphingobium phage N-AFCM0810-28,Japan,1,1
44869,Novosphingobium phage N-AFCM0824-33,Japan,1,1
44870,Novosphingobium phage N-AFCM0901-40,Japan,1,1
44871,Novosphingobium phage N-AFCM0901-91,Japan,1,1
44872,Novosphingobium phage N-AFCM0913-47,Japan,1,1
44873,Novosphingobium phage N-AFCa0615-4,Japan,1,1
44874,Novosphingobium phage N-AFCa0615-5,Japan,1,1
44875,Novosphingobium phage N-AFCa0615-6,Japan,1,1
44876,Novosphingobium phage N-AFCa0628-10,Japan,1,1
44877,Novosphingobium phage N-AFCa0628-12,Japan,1,1
44878,Novosphingobium phage N-AFCa0707-17,Japan,1,1
44879,Novosphingobium phage N-AFCa0707-18,Japan,1,1
44880,Novosphingobium phage N-AFCa0707-83,Japan,1,1
44881,Novosphingobium phage N-AFCa0714-84,Japan,1,1
44882,Novosphingobium phage N-AFCa0802-23,Japan,1,1
44883,Novosphingobium phage N-AFCa0802-24,Japan,1,1
44884,Novosphingobium phage N-AFCa0802-56,Japan,1,1
44885,Novosphingobium phage N-AFCa0802-57,Japan,1,1
44886,Novosphingobium phage N-AFCa0802-85,Japan,1,1
44887,Novosphingobium phage N-AFCa0810-29,Japan,1,1
44888,Novosphingobium phage N-AFCa0810-30,Japan,1,1
44889,Novosphingobium phage N-AFCa0824-34,Japan,1,1
44890,Novosphingobium phage N-AFCa0824-35,Japan,1,1
44891,Novosphingobium phage N-AFCa0824-36,Japan,1,1
44892,Novosphingobium phage N-AFCa0901-41,Japan,1,1
44893,Novosphingobium phage N-AFCa0901-42,Japan,1,1
44894,Novosphingobium phage N-AFCa0901-90,Japan,1,1
44895,Novosphingobium phage N-AFNF0628-7,Japan,1,1
44896,Novosphingobium phage N-AFNF0707-13,Japan,1,1
44897,Novosphingobium phage N-AFNF0802-19,Japan,1,1
44898,Novosphingobium phage N-AFNF0802-20,Japan,1,1
44899,Novosphingobium phage N-AFNF0810-25,Japan,1,1
44900,Novosphingobium phage N-AFNF0824-31,Japan,1,1
44901,Novosphingobium phage N-AFNF0913-43,Japan,1,1
44902,Novosphingobium phage N-AFNF0922-55,Japan,1,1
44903,Novosphingobium phage N-An-FWCa0913-92,Japan,1,1
44904,Noxifervirus,New Zealand,668,668
44905,Ntaya virus,Uganda,2,2
44906,Ntepes phlebovirus,Kenya,12,12
44907,Ntwetwe virus,Uganda,3,3
44908,Nucleorhabdovirus,Albania,1,1
44909,Nucleorhabdovirus,Australia,15,14
44910,Nucleorhabdovirus,Austria,29,14
44911,Nucleorhabdovirus,Azerbaijan,31,2
44912,Nucleorhabdovirus,China,43,12
44913,Nucleorhabdovirus,Cyprus,49,6
44914,Nucleorhabdovirus,Fiji,55,6
44915,Nucleorhabdovirus,France,57,2
44916,Nucleorhabdovirus,Germany,58,1
44917,Nucleorhabdovirus,Greece,106,48
44918,Nucleorhabdovirus,India,116,10
44919,Nucleorhabdovirus,Iran,231,115
44920,Nucleorhabdovirus,Italy,261,30
44921,Nucleorhabdovirus,Japan,268,7
44922,Nucleorhabdovirus,Latvia,274,6
44923,Nucleorhabdovirus,Mexico,277,3
44924,Nucleorhabdovirus,Russia,283,6
44925,Nucleorhabdovirus,South Africa,284,1
44926,Nucleorhabdovirus,South Korea,291,7
44927,Nucleorhabdovirus,Spain,300,9
44928,Nucleorhabdovirus,Turkey,301,1
44929,Nucleorhabdovirus,USA,366,65
44930,Nucleorhabdovirus SR/Kadapa,India,1,1
44931,Nucleorhabdovirus SR/Kurnool,India,2,2
44932,Nucleorhabdovirus SR/Tirupati,India,1,1
44933,Nudaurelia capensis beta virus,China,1,1
44934,Nudaurelia capensis omega virus,South Africa,32,32
44935,Nudaurelia capensis omega virus,USA,33,1
44936,Nudiviridae,Austria,93,93
44937,Nudiviridae,Belgium,199,106
44938,Nudiviridae,Canada,298,99
44939,Nudiviridae,China,481,183
44940,Nudiviridae,Fiji,482,1
44941,Nudiviridae,France,484,2
44942,Nudiviridae,Ghana,493,9
44943,Nudiviridae,Greece,497,4
44944,Nudiviridae,Indonesia,982,485
44945,Nudiviridae,Malaysia,1260,278
44946,Nudiviridae,New Caledonia,1261,1
44947,Nudiviridae,Palau,1391,130
44948,Nudiviridae,Papua New Guinea,1392,1
44949,Nudiviridae,Philippines,1566,174
44950,Nudiviridae,Portugal,1575,9
44951,Nudiviridae,Solomon Islands,1706,131
44952,Nudiviridae,South Korea,1710,4
44953,Nudiviridae,Spain,1896,186
44954,Nudiviridae,USA,2526,630
44955,Nudiviridae,Ukraine,2722,196
44956,Nudiviridae,United Kingdom,3284,562
44957,Nudiviridae,Vanuatu,3285,1
44958,Nufsystermes virus,Australia,8,8
44959,Nuihimevirus,Japan,3,3
44960,Nuihimevirus lutadaptatum,Japan,3,3
44961,Nuksystermes virus,Australia,12,12
44962,Nutorquevirus,Netherlands,3,3
44963,Nuyav virus,USA,1,1
44964,Nyamanini nyavirus,Thailand,12,12
44965,Nyamiviridae,China,69,69
44966,Nyamiviridae,Finland,76,7
44967,Nyamiviridae,Germany,84,8
44968,Nyamiviridae,Japan,88,4
44969,Nyamiviridae,Midway Islands,100,12
44970,Nyamiviridae,Thailand,112,12
44971,Nyamiviridae,USA,186,74
44972,Nyamiviridae,United Kingdom,191,5
44973,Nyando orthobunyavirus,Brazil,4,4
44974,Nyando orthobunyavirus,Cameroon,8,4
44975,Nyando orthobunyavirus,Central African Republic,9,1
44976,Nyando orthobunyavirus,Ethiopia,13,4
44977,Nyando orthobunyavirus,Kenya,24,11
44978,Nyando orthobunyavirus,Uganda,28,4
44979,Nyangole orthobunyavirus,Uganda,3,3
44980,Nyavirus,Midway Islands,12,12
44981,Nyavirus,Thailand,24,12
44982,Nyavirus,USA,50,26
44983,Nyceiraevirus,USA,288,288
44984,Nyctalus lasiopterus betaherpesvirus 1,Spain,2,2
44985,Nyctalus lasiopterus gammaherpesvirus 1,Spain,1,1
44986,Nyctalus lasiopterus rhadinovirus,Spain,1,1
44987,Nyctalus leisleri betaherpesvirus 1,Spain,2,2
44988,Nyctalus leisleri gammaherpesvirus 1,Spain,1,1
44989,Nyctalus noctula betaherpesvirus 1,Spain,1,1
44990,Nyctalus noctula rhadinovirus 1,Germany,1,1
44991,Nyctalus noctula rhadinovirus 2,Germany,2,2
44992,Nyctalus velutinus alphacoronavirus SC-2013,China,12,12
44993,Nycteribia kolenatii rhabdovirus 1,Spain,1,1
44994,Nycteribia schmidlii rhabdovirus 1,Spain,1,1
44995,Nycteribia schmidlii rhabdovirus 2,Spain,1,1
44996,Nycteribia schmidlii rhabdovirus 3,Spain,1,1
44997,Nycteribia schmidlii rhabdovirus 4,Spain,1,1
44998,Nycticebus coucang betaherpesvirus 1,Germany,1,1
44999,Nyctophilus geoffroyi adenovirus,Australia,1,1
45000,Nyctophilus gouldi adenovirus,Australia,1,1
45001,Nyfulvavirus,USA,6,6
45002,Nylanderia fulva virus 1,USA,6,6
45003,Nylescharonvirus,France,328,328
45004,Nymphadoravirus,USA,2180,2180
45005,Nymphoides mastrevirus A,China,3,3
45006,O'Leary virus,Antarctica,2,2
45007,Oak looper alphabaculovirus,USA,1,1
45008,Oat blue dwarf virus,USA,2,2
45009,Oat dwarf virus,Germany,8,8
45010,Oat dwarf virus,Iran,16,8
45011,Oat golden stripe virus,United Kingdom,12,12
45012,Oat mosaic virus,France,1,1
45013,Oat mosaic virus,Ireland,2,1
45014,Oat mosaic virus,United Kingdom,19,17
45015,Oat necrotic mottle virus,USA,1,1
45016,Oat sterile dwarf virus,Sweden,2,2
45017,Oates virus,Antarctica,1,1
45018,Oberland virus,Switzerland,7,7
45019,Obhoarovirus,USA,3,3
45020,Obhoarovirus terradaptatum,USA,3,3
45021,Obodhiang ephemerovirus,Sudan,20,20
45022,Obolenskvirus,China,907,907
45023,Obolenskvirus,Iraq,911,4
45024,Obolenskvirus,South Korea,1334,423
45025,Obscuruvirus,Colombia,3,3
45026,Obscuruvirus quintum,Colombia,3,3
45027,Oceanospirillum phage vB_OliS_GJ44,China,60,60
45028,Oceanospirillum phage vB_OsaM_PD0307,China,56,56
45029,Oceshuvirus,Japan,3,3
45030,Oceshuvirus lutenecus,Japan,3,3
45031,Ochlerotatus caspius flavivirus,Greece,9,9
45032,Ochlerotatus caspius flavivirus,Portugal,10,1
45033,Ochlerotatus caspius flavivirus,Turkey,12,2
45034,Ochlerotatus caspius rhabdovirus 1,Spain,1,1
45035,Ochlerotatus caspius rhabdovirus 2,Spain,1,1
45036,Ochlerotatus flavivirus,Turkey,2,2
45037,Ochlerotatus scapularis flavivirus,Bolivia,1,1
45038,Ochlerotatus-associated narna-like virus 1,France,2,2
45039,Ochlerotatus-associated narna-like virus 2,France,4,4
45040,Ochrobactrum phage POA1180,Germany,58,58
45041,Ochrobactrum phage POI1126,Germany,78,78
45042,Ochrobactrum phage vB_OspM_OC,Poland,390,390
45043,Ochrobactrum phage vB_OspP_OH,Poland,65,65
45044,Ocimum basilicum RNA virus 1,Italy,4,4
45045,Ocimum basilicum RNA virus 2,Italy,2,2
45046,Ocimum golden mosaic virus,Uganda,22,22
45047,Ocimum mosaic virus,Uganda,14,14
45048,Ocimum potyvirus,Nigeria,1,1
45049,Ocimum yellow vein virus,Uganda,32,32
45050,Ociwvivirus,USA,3,3
45051,Ociwvivirus luticola,USA,3,3
45052,Odaw virus,Ghana,6,6
45053,Odiravirus,Japan,3,3
45054,Odiravirus lutihabitans,Japan,3,3
45055,Odobenus rosmarus divergens herpesvirus,Spain,2,2
45056,Odocoileus hemionus endogenous retrovirus,USA,2,2
45057,Odonata-associated circular virus-1,USA,4,4
45058,Odonata-associated circular virus-10,USA,4,4
45059,Odonata-associated circular virus-11,USA,4,4
45060,Odonata-associated circular virus-12,USA,2,2
45061,Odonata-associated circular virus-13,USA,4,4
45062,Odonata-associated circular virus-14,USA,4,4
45063,Odonata-associated circular virus-15,USA,4,4
45064,Odonata-associated circular virus-16,USA,4,4
45065,Odonata-associated circular virus-17,USA,4,4
45066,Odonata-associated circular virus-18,USA,10,10
45067,Odonata-associated circular virus-19,USA,6,6
45068,Odonata-associated circular virus-2,USA,4,4
45069,Odonata-associated circular virus-20,USA,2,2
45070,Odonata-associated circular virus-3,USA,4,4
45071,Odonata-associated circular virus-4,USA,4,4
45072,Odonata-associated circular virus-6,USA,2,2
45073,Odonata-associated circular virus-7,USA,6,6
45074,Odonata-associated circular virus-8,USA,4,4
45075,Odonata-associated circular virus-9,USA,4,4
45076,Odonatan anphe-related virus OKIAV59,Germany,4,4
45077,Odonatan flavi-related virus,Australia,1,1
45078,Odonatan flavi-related virus,Greece,2,1
45079,Odonatan tombus-related virus,Germany,6,6
45080,Odonatan tombus-related virus,Singapore,8,2
45081,Odonatan tombus-related virus,USA,12,4
45082,Odonatavirus,China,9,9
45083,Odonatavirus fabricii,China,9,9
45084,Odonate anphevirus,China,6,6
45085,Odonate arlivirus,China,12,12
45086,Odonate orthophasmavirus,China,6,6
45087,Odonate peropuvirus,China,2,2
45088,Odontoglossum ringspot virus,Argentina,2,2
45089,Odontoglossum ringspot virus,Australia,6,4
45090,Odontoglossum ringspot virus,Brazil,15,9
45091,Odontoglossum ringspot virus,China,108,93
45092,Odontoglossum ringspot virus,Germany,116,8
45093,Odontoglossum ringspot virus,India,124,8
45094,Odontoglossum ringspot virus,Indonesia,128,4
45095,Odontoglossum ringspot virus,Mexico,134,6
45096,Odontoglossum ringspot virus,Singapore,137,3
45097,Odontoglossum ringspot virus,South Korea,211,74
45098,Odontoglossum ringspot virus,Taiwan,222,11
45099,Odontoglossum ringspot virus,Thailand,223,1
45100,Odorna virus,Ghana,4,4
45101,Oecomys bicolor paramyxovirus,French Guiana,1,1
45102,Oecomys bicolor polyomavirus,French Guiana,1,1
