Species,Host,Count
Obscuruvirus quintum,Psorophora albipes,1
Oceanospirillum phage vB_OliS_GJ44,Oceanospirillum,1
Oceanospirillum phage vB_OsaM_PD0307,Oceanospirillum sanctuarii,1
Oceshuvirus lutenecus,activated sludge metagenome,1
Ochlerotatus caspius flavivirus,Aedes,9
Ochlerotatus caspius flavivirus,Ochlerotatus caspius,3
Ochlerotatus caspius rhabdovirus 1,Ochlerotatus caspius,1
Ochlerotatus caspius rhabdovirus 2,Ochlerotatus caspius,1
Ochlerotatus flavivirus,Culicidae,2
Ochlerotatus scapularis flavivirus,Ochlerotatus sp.,1
Ochrobactrum phage POA1180,Brucella anthropi,1
Ochrobactrum phage POI1126,Brucella intermedia,1
Ochrobactrum phage vB_OspM_OC,Ochrobactrum sp. POC9,1
Ochrobactrum phage vB_OspP_OH,Ochrobactrum sp. POC9,1
Ocimum basilicum RNA virus 1,Ocimum basilicum,2
Ocimum basilicum RNA virus 2,Ocimum basilicum,2
Ocimum basilicum potyvirus,Ocimum basilicum,1
Ocimum golden mosaic virus,Ocimum gratissimum,5
Ocimum leaf curl virus,Ocimum,1
Ocimum mosaic virus,Ocimum gratissimum,3
Ocimum potyvirus,Ocimum gratissimum,1
Ocimum yellow vein virus,Ocimum gratissimum,8
Ociwvivirus luticola,activated sludge metagenome,1
Odaw virus,Rhipicephalus,6
Odiravirus lutihabitans,activated sludge metagenome,1
Odobenus rosmarus divergens herpesvirus,Odobenus rosmarus divergens,2
Odocoileus hemionus endogenous retrovirus,Odocoileus hemionus,2
Odonata-associated circular virus-1,Ischnura ramburii,2
Odonata-associated circular virus-10,Libellula quadrimaculata,2
Odonata-associated circular virus-11,Erythemis simplicicollis,2
Odonata-associated circular virus-12,Libellula quadrimaculata,1
Odonata-associated circular virus-13,Libellula quadrimaculata,2
Odonata-associated circular virus-14,Erythrodiplax fusca,2
Odonata-associated circular virus-15,Libellula quadrimaculata,2
Odonata-associated circular virus-16,Libellula quadrimaculata,2
Odonata-associated circular virus-17,Libellula quadrimaculata,2
Odonata-associated circular virus-18,Libellula quadrimaculata,3
Odonata-associated circular virus-18,Libellula saturata,2
Odonata-associated circular virus-19,Libellula quadrimaculata,2
Odonata-associated circular virus-19,Pachydiplax longipennis,1
Odonata-associated circular virus-2,Ischnura posita,2
Odonata-associated circular virus-20,Erythemis simplicicollis,1
Odonata-associated circular virus-3,Ischnura ramburii,2
Odonata-associated circular virus-4,Ischnura posita,2
Odonata-associated circular virus-6,Libellula quadrimaculata,1
Odonata-associated circular virus-7,Libellula quadrimaculata,2
Odonata-associated circular virus-8,Libellula quadrimaculata,2
Odonata-associated circular virus-9,Erythemis simplicicollis,2
Odonatan anphe-related virus OKIAV59,Cordulegaster boltonii,1
Odonatan chu-related virus OKIAV136,Diphlebia lestoides,1
Odonatan chu-related virus OKIAV137,Austroargiolestes icteromelas,1
Odonatan flavi-related virus,Hemiphlebia mirabilis,1
Odonatan flavi-related virus,Orthetrum albistylum,1
Odonatavirus fabricii,Odonata,2
Odonatavirus fabricii,Orthetrum chrysostigma,1
Odonate anphevirus,Odonata,2
Odonate arlivirus,Odonata,2
Odonate orthophasmavirus,Odonata,6
Odonate peropuvirus,Odonata,2
Odontoglossum ringspot virus,Aeridinae,1
Odontoglossum ringspot virus,Arachnis x Vanda,2
Odontoglossum ringspot virus,Barkeria,1
Odontoglossum ringspot virus,Bulbophyllum,1
Odontoglossum ringspot virus,Calanthe,1
Odontoglossum ringspot virus,Calanthe discolor,1
Odontoglossum ringspot virus,Calanthe sylvatica,1
Odontoglossum ringspot virus,Cattleya,2
Odontoglossum ringspot virus,Chenopodium amaranticolor,1
Odontoglossum ringspot virus,Cleisostoma racemiferum,1
Odontoglossum ringspot virus,Cymbidium,12
Odontoglossum ringspot virus,Cymbidium dayanum,1
Odontoglossum ringspot virus,Cymbidium elegans,1
Odontoglossum ringspot virus,Cymbidium ensifolium,18
Odontoglossum ringspot virus,Cymbidium faberi,2
Odontoglossum ringspot virus,Cymbidium goeringii,28
Odontoglossum ringspot virus,Cymbidium hookerianum,1
Odontoglossum ringspot virus,Cymbidium hybrid cultivar,4
Odontoglossum ringspot virus,Cymbidium kanran,1
Odontoglossum ringspot virus,Cymbidium lancifolium,1
Odontoglossum ringspot virus,Cymbidium sinense,5
Odontoglossum ringspot virus,Dendrobium,18
Odontoglossum ringspot virus,Epidendrum,3
Odontoglossum ringspot virus,Geodorum,1
Odontoglossum ringspot virus,Laelia,3
Odontoglossum ringspot virus,Nicotiana tabacum,13
Odontoglossum ringspot virus,Oncidium,20
Odontoglossum ringspot virus,Orchidaceae,10
Odontoglossum ringspot virus,Phalaenopsis,27
Odontoglossum ringspot virus,Phalaenopsis amabilis,1
Odontoglossum ringspot virus,Phalaenopsis sp.,3
Odontoglossum ringspot virus,Pyrus pyrifolia,2
Odontoglossum ringspot virus,Vanda cristata,1
Odontoglossum ringspot virus,Vanilla planifolia,5
Odorna virus,Aedes aegypti,1
Oecomys bicolor paramyxovirus,Oecomys bicolor,1
Oecomys bicolor polyomavirus,Oecomys bicolor,1
Oekfovirus lutivicinum,activated sludge metagenome,1
Oenoccocus phage fOgPSU1,Oenococcus oeni,1
Oenococcus phage EGM-2013,Oenococcus oeni,25
Oenococcus phage fOg30,Oenococcus oeni,1
Oenococcus phage fOg44,Oenococcus,1
Oenococcus phage fOg44,Oenococcus oeni,2
Oenococcus phage foe1,Oenococcus oeni,3
Oenococcus phage foe17,Oenococcus oeni,1
Oenococcus phage foe2,Oenococcus oeni,3
Oenococcus phage foe20,Oenococcus oeni,1
Oenococcus phage foe21,Oenococcus oeni,2
Oenococcus phage foe22,Oenococcus oeni,1
Oenococcus phage foe25,Oenococcus oeni,1
Oenococcus phage foe26,Oenococcus oeni,3
Oenococcus phage foe29,Oenococcus oeni,3
Oenococcus phage foe3,Oenococcus oeni,2
Oenococcus phage foe31,Oenococcus oeni,1
Oenococcus phage foe33,Oenococcus oeni,1
Oenococcus phage foe34,Oenococcus oeni,1
Oenococcus phage foe35,Oenococcus oeni,1
Oenococcus phage foe37,Oenococcus oeni,4
Oenococcus phage phiOE33PA,Oenococcus oeni,1
Oenococcus phage vB_OeS_unk162,Oenococcus oeni,1
Oenococcus virus phi9805,Oenococcus,2
Oenococcus virus phiS11,Oenococcus oeni,2
Oenococcus virus phiS13,Oenococcus oeni,2
Ogsystermes virus,Occasitermes,2
Ohio dicistro-like virus,Dermatophagoides pteronyssinus,2
Ohio negev-like virus 1,Dermatophagoides pteronyssinus,1
Ohio negev-like virus 2,Dermatophagoides pteronyssinus,1
Ohlsdorf ohlsrhavirus,Ochlerotatus cantans,7
Ohshima virus,Haemaphysalis hystricis,6
Oidiodendron maius splipalmivirus 1,Oidiodendron maius,4
Oita ledantevirus,Rhinolophus cornutus,3
Oita rhabdovirus 296/1972,Rhinolophus cornutus,1
Okahandja mammarenavirus,Micaelamys namaquensis,9
Okapia johnstoni papillomavirus 1,Okapia johnstoni,1
Okhotskiy virus,Ixodes uriae,25
Okola virus,Eretmapodites chrysogaster,3
Okra curl leaf virus,Abelmoschus esculentus,1
Okra enation leaf curl betasatellite,Abelmoschus esculentus,19
Okra enation leaf curl betasatellite,Abelmoschus manihot subsp. tetraphyllus,2
Okra enation leaf curl betasatellite,Abelmoschus manihot var. tetraphyllus,1
Okra enation leaf curl betasatellite,Abelmoschus moschatus,1
Okra enation leaf curl virus,Abelmoschus angulosus,1
Okra enation leaf curl virus,Abelmoschus esculentus,146
Okra enation leaf curl virus,Abelmoschus manihot subsp. tetraphyllus,4
Okra enation leaf curl virus,Abelmoschus moschatus,1
Okra enation leaf curl virus,Carica papaya,7
Okra enation leaf curl virus,Cyamopsis tetragonoloba,1
Okra enation leaf curl virus,Gossypium hirsutum,1
Okra enation leaf curl virus,Hibiscus cannabinus,1
Okra enation leaf curl virus,Ipomoea batatas,1
Okra enation leaf curl virus,Solanum melongena,1
Okra leaf curl Cameroon virus,Abelmoschus esculentus,3
Okra leaf curl India virus,Abelmoschus esculentus,3
Okra leaf curl Mali alphasatellite-Cameroon,Abelmoschus esculentus,2
Okra leaf curl Mali alphasatellite-Cameroon,Ageratum conyzoides,1
Okra leaf curl Mali virus satellite DNA beta,Abelmoschus esculentus,14
Okra leaf curl Oman betasatellite,Abelmoschus esculentus,2
Okra leaf curl Oman virus,Abelmoschus esculentus,3
Okra leaf curl alphasatellite,Abelmoschus esculentus,22
Okra leaf curl alphasatellite,Amaranthus hybridus,1
Okra leaf curl alphasatellite,Capsicum,7
Okra leaf curl alphasatellite,Capsicum frutescens,1
Okra leaf curl alphasatellite,Croton bonplandianus,13
Okra leaf curl alphasatellite,Cucumis sativus,1
Okra leaf curl alphasatellite,Gossypium,3
Okra leaf curl alphasatellite,Gossypium hirsutum,33
Okra leaf curl alphasatellite,Jasminum sambac,1
Okra leaf curl alphasatellite,Malus pumila,4
Okra leaf curl alphasatellite,Populus alba,15
Okra leaf curl alphasatellite,Raphanus sativus,1
Okra leaf curl alphasatellite,Sesbania,1
Okra leaf curl alphasatellite,Solanum lycopersicum,1
Okra leaf curl betasatellite,Abelmoschus esculentus,34
Okra leaf curl betasatellite,Cucurbita,1
Okra leaf curl betasatellite,Gossypium hirsutum,1
Okra leaf curl betasatellite,Gossypium thurberi,2
Okra leaf curl betasatellite,Sinapis arvensis,1
Okra leaf curl betasatellite,Solanum lycopersicum,2
Okra leaf curl betasatellite,Sonchus arvensis,1
Okra leaf curl virus,Abelmoschus esculentus,8
Okra mottle virus,Abelmoschus esculentus,5
Okra mottle virus,Glycine max,2
Okra yellow crinkle Cameroon alphasatellite,Abelmoschus esculentus,8
Okra yellow crinkle virus,Abelmoschus esculentus,31
Okra yellow crinkle virus,Ageratum conyzoides,1
Okra yellow crinkle virus,Asystasia gangetica,3
Okra yellow crinkle virus,Capsicum annuum,4
Okra yellow crinkle virus,Citrullus lanatus subsp. vulgaris,1
Okra yellow mosaic Mexico virus,Abelmoschus esculentus,12
Okra yellow mosaic Mexico virus,Abutilon permolle,1
Okra yellow mosaic Mexico virus,Anoda cristata,1
Okra yellow mosaic Mexico virus,Corchorus siliquosus,1
Okra yellow mosaic Mexico virus,Herissantia,1
Okra yellow mosaic Mexico virus,Herissantia crispa,1
Okra yellow mosaic Mexico virus,Hibiscus sabdariffa,8
Okra yellow mosaic Mexico virus,Malachra fasciata,5
Okra yellow mosaic Mexico virus,Sida acuta,5
Okra yellow mosaic Mexico virus,Sida aggregata,5
Okra yellow mosaic Mexico virus,Sida collina,5
Okra yellow mosaic Mexico virus,Sida haenkeana,5
Okra yellow mosaic Mexico virus,Sida rhombifolia,3
Okra yellow mottle virus,Abelmoschus esculentus,13
Okra yellow vein disease associated sequence,Abelmoschus esculentus,3
Okra yellow vein mosaic virus,Abelmoschus esculentus,8
Okra yellow vein mosaic virus satellite DNA beta,Abelmoschus esculentus,3
Okutama tick virus,Haemaphysalis,1
Okutama tick virus,Haemaphysalis flava,12
Okutama tick virus 34,Haemaphysalis flava,2
Old Port virus,Arthropoda,5
Old quarry swamp virus,Ixodes holocyclus,5
Olea europaea geminivirus,Olea,2
Olea europaea geminivirus,Olea europaea,27
Olene mendosa nucleopolyhedrovirus,Olene mendosa,1
Olifantsvlei orthobunyavirus,Culex pipiens,3
Oligodon snake nidovirus 1,Oligodon formosanus,2
Olive latent ringspot virus,Olea,5
Olive latent virus 1,Citrus,1
Olive latent virus 1,Nicotiana tabacum,1
Olive latent virus 1,Olea,21
Olive latent virus 1,Olea europaea,2
Olive latent virus 1,Solanum lycopersicum,3
Olive latent virus 2,Olea,4
Olive latent virus 2,Ricinus communis,2
Olive latent virus 3,Olea europaea,1
Olive leaf yellowing-associated virus,Olea,14
Olive leaf yellowing-associated virus,Olea europaea,202
Olive mild mosaic virus,Chenopodium quinoa,1
Olive mild mosaic virus,Hyacinthus,2
Olive mild mosaic virus,Nicotiana benthamiana,1
Olive mild mosaic virus,Olea,37
Olive mild mosaic virus,Olea europaea,5
Olive mild mosaic virus,Spinacia oleracea,1
Olive mild mosaic virus,Tulipa,13
Olive mild mosaic virus,Valerianella locusta,41
Olive viral satellite RNA,Olea europaea,3
Olive virus T,Olea,2
Olive virus T,Olea europaea,6
Oliveros mammarenavirus,Necromys lasiurus,3
Olivier's shrew virus 2,Crocidura olivieri,1
Olivier's shrew virus 3,Crocidura olivieri,1
Olleya phage Harreka_1,Olleya sp. HaHaR_3_96,2
Ollusvirus coleopteri,Coleoptera,2
Ollusvirus culvertonense,Macropsylla hercules,1
Ollusvirus scaldisense,Insecta,1
Ollusvirus scaldisense,Osmia cornuta,1
Ollusvirus taiyuanense,Psammotettix alienus,1
Olluvirus shayangense,Atherigona orientalis,2
Omdraaivlei virus,Myotomys unisulcatus,2
Omikronpapillomavirus 1,Phocoena phocoena,2
Omikronpapillomavirus 1,Phocoena spinipinnis,2
Omikronpapillomavirus 1,Tursiops truncatus,3
Omohevirus peladaptatum,activated sludge metagenome,1
Omono River virus,Aedes albopictus,1
Omono River virus,Culex inatomii,1
Omono River virus,Culex pipiens pallens,1
Omono River virus,Culex tritaeniorhynchus,1
Omono River virus,Culex vishnui,2
Omphalodes virus Y,Omphalodes,1
Omsk hemorrhagic fever virus,Androlaelaps casalis,2
Omsk hemorrhagic fever virus,Culicidae,1
Omsk hemorrhagic fever virus,Dermacentor marginatus,2
Omsk hemorrhagic fever virus,Dermacentor reticulatus,4
Omsk hemorrhagic fever virus,Homo sapiens,5
Omsk hemorrhagic fever virus,Microtus oeconomus,3
Omsk hemorrhagic fever virus,Mus musculus,1
Omsk hemorrhagic fever virus,Myodes rutilus,2
Omsk hemorrhagic fever virus,Ochlerotatus subdiversus,1
Omsk hemorrhagic fever virus,Ondatra zibethicus,88
Oncorhynchus aquaparamyxovirus,Oncorhynchus tshawytscha,18
Oncorhynchus mykiss ranavirus,Oncorhynchus mykiss,2
Oncorhynchus mykiss-associated papillomavirus 1,Oncorhynchus mykiss,1
Ondatra zibethicus cytomegalovirus 1,Ondatra zibethicus,1
Onega tick phlebovirus,Ixodes persulcatus,2
Onion yellow dwarf virus,Allium ampeloprasum,5
Onion yellow dwarf virus,Allium cepa,41
Onion yellow dwarf virus,Allium cepa var. aggregatum,3
Onion yellow dwarf virus,Allium chinense,1
Onion yellow dwarf virus,Allium fistulosum,1
Onion yellow dwarf virus,Allium sativum,302
Onion yellow dwarf virus,Allium vineale,1
Onion yellow dwarf virus,Amaryllis,4
Onion yellow dwarf virus,Chenopodium quinoa,9
Only Syngen Nebraska virus 5,Chlorella variabilis,2
Onohmuvirus pelenecus,activated sludge metagenome,1
Onychoprion fuscatus alphaherpesvirus 1,Onychoprion fuscatus,1
Onyong-nyong virus,Anopheles funestus,1
Onyong-nyong virus,Homo sapiens,1
Operophtera bruceata nucleopolyhedrovirus,Operophtera bruceata,2
Operophtera brumata nucleopolyhedrovirus,Operophtera brumata,5
Opheodrys herpes virus 1,Opheodrys vernalis,1
Ophiocordyceps sinensis mitovirus 1,Ophiocordyceps sinensis,1
Ophiocordyceps sinensis mitovirus 2,Ophiocordyceps sinensis,1
Ophiostoma minus totivirus,Ophiostoma minus,1
Ophiostoma mitovirus 1a,Ophiostoma novo-ulmi,1
Ophiostoma mitovirus 1b,Ophiostoma novo-ulmi,1
Ophiostoma mitovirus 1c,Ophiostoma novo-ulmi,1
Ophiostoma mitovirus 3a,Ophiostoma novo-ulmi,2
Ophiostoma mitovirus 3b,Ophiostoma novo-ulmi,1
Ophiostoma mitovirus 4,Ophiostoma novo-ulmi,2
Ophiostoma mitovirus 7,Ophiostoma novo-ulmi,1
Ophiostoma partitivirus 1,Ophiostoma himal-ulmi,4
Ophiostoma quercus partitivirus,Ulmus carpinifolia,1
Ophiusa disjungens nucleopolyhedrovirus,Ophiusa disjungens,1
Opistofel virus,Opisthorchis felineus,1
Opium poppy mosaic associated virus,Papaver somniferum,1
Opium poppy mosaic virus,Papaver rhoeas,1
Opium poppy mosaic virus,Papaver somniferum,3
Opium poppy mosaic virus,Tropaeolum majus,1
Oplegnathus punctatus iridovirus,Oplegnathus punctatus,1
Oplegnathus punctatus nervous necrosis virus,Oplegnathus punctatus,1
Opossum tetraparvovirus,Didelphis albiventris,1
Opossum torque teno virus,Didelphis albiventris,1
Opsiphanes invirae iflavirus 1,Opsiphanes invirae,2
Opuntia umbra-like virus,Cannabis sativa,2
Opuntia umbra-like virus,Opuntia ficus-indica,1
Opuntia virus 1,Coccoidea,18
Opuntia virus 1,Cylindropuntia,1
Opuntia virus 1,Cylindropuntia arbuscula,2
Opuntia virus 1,Cylindropuntia echinocarpa,1
Opuntia virus 1,Cylindropuntia spinosior,2
Opuntia virus 1,Lophocereus schottii,3
Opuntia virus 1,Opuntia,6
Opuntia virus 1,Opuntia aureispina,1
Opuntia virus 1,Opuntia basilaris,5
Opuntia virus 1,Opuntia brasiliensis,3
Opuntia virus 1,Opuntia cespitosa,6
Opuntia virus 1,Opuntia echios var. echios,8
Opuntia virus 1,Opuntia engelmannii,6
Opuntia virus 1,Opuntia mackensenii,2
Opuntia virus 1,Opuntia martiniana,1
Opuntia virus 1,Opuntia phaeacantha,1
Opuntia virus 1,Opuntia robusta,3
Opuntia virus 1,Opuntia rufida,2
Opuntia virus 1,Opuntia santa-rita,2
Opuntia virus 1,Opuntia stenopetala,5
Opuntia virus 1,Opuntia tapona,1
Opuntia virus 1,Opuntia x rooneyi,1
Opuntia virus 2,Opuntia,6
Opuntia virus 2,Opuntia basilaris,4
Opuntia virus 2,Opuntia engelmannii,6
Opuntia virus 2,Opuntia engelmannii var. aciculata,3
Opuntia virus 2,Opuntia ficus-indica,15
Opuntia virus 2,Opuntia microdasys,5
Opuntia virus 2,Opuntia phaeacantha,6
Opuntia virus 2,Opuntia santa-rita,8
Opuntia virus H,Opuntia ficus-indica,1
Opuntia virus H,Ulmus laevis,1
Opuntia virus X,Opuntia albicarpa (nom. inval.),1
Opuntia virus X,Opuntia ficus-indica,9
Opuntia virus X,Schlumbergera truncata,1
Ora Rivulet insect-associated polycipivirus,Coquillettidia richiardii,1
Orbivirus JKT-8132,Culex vishnui,6
Orbivirus JKT-8132,Culicidae,1
Orbivirus PREDICT_Orbi-6,Macaca mulatta,5
Orbivirus SX-2017a,Culex tritaeniorhynchus,20
Orbivirus sp.,Afronycteris nana,1
Orbivirus sp.,Taphozous melanopogon,4
Orca astrovirus 1,Orcinus orca,1
Orca polyomavirus,Orcinus orca,1
Orchesella springtail adintovirus,Orchesella cincta,1
Orchid fleck dichorhavirus,Alcea rosea,1
Orchid fleck dichorhavirus,Aspidistra elatior,1
Orchid fleck dichorhavirus,Calanthe,2
Orchid fleck dichorhavirus,Calanthe triplicata,1
Orchid fleck dichorhavirus,Citrus,2
Orchid fleck dichorhavirus,Citrus aurantium,2
Orchid fleck dichorhavirus,Citrus jambhiri,6
Orchid fleck dichorhavirus,Citrus latifolia,4
Orchid fleck dichorhavirus,Citrus reticulata,2
Orchid fleck dichorhavirus,Citrus sinensis,13
Orchid fleck dichorhavirus,Citrus x paradisi,1
Orchid fleck dichorhavirus,Cordyline fruticosa,1
Orchid fleck dichorhavirus,Cymbidium,16
Orchid fleck dichorhavirus,Cymbidium hybrid cultivar,2
Orchid fleck dichorhavirus,Dendrobium,3
Orchid fleck dichorhavirus,Dendrobium moschatum,1
Orchid fleck dichorhavirus,Liriope muscari,3
Orchid fleck dichorhavirus,Liriope spicata,1
Orchid fleck dichorhavirus,Maxillaria luteograndiflora,2
Orchid fleck dichorhavirus,Miltonia,1
Orchid fleck dichorhavirus,Oncidium,2
Orchid fleck dichorhavirus,Oncidium maculatum,1
Orchid fleck dichorhavirus,Orchidaceae,2
Orchid fleck dichorhavirus,Phalaenopsis,3
Orchid fleck dichorhavirus,Smilax auriculata,11
Orchid fleck dichorhavirus,Trichopilia,1
Orcinus orca papillomavirus SW2001/234,Orcinus orca,1
Ord River hapavirus,Culex annulirostris,3
Ordinary reptarenavirus,Boa constrictor,4
Oreochromis mossambicus nervous necrosis virus,Oreochromis mossambicus,1
Oreochromis niloticus nervous necrosis virus,Oreochromis niloticus,4
Oreochromis niloticus virus LB-2007,Oreochromis niloticus,1
Oreolalax rhodostigmatus papillomavirus 1,Oreolalax rhodostigmatus,1
Orestiada partiti-like virus,Anopheles algeriensis,1
Orf virus,Antilope cervicapra,1
Orf virus,Bos taurus,5
Orf virus,Budorcas taxicolor,2
Orf virus,Camelus,11
Orf virus,Camelus dromedarius,6
Orf virus,Capra,1
Orf virus,Capra hircus,852
Orf virus,Capra ibex,22
Orf virus,Capricornis crispus,16
Orf virus,Cervidae,1
Orf virus,Homo sapiens,33
Orf virus,Odocoileus hemionus,1
Orf virus,Odocoileus hemionus sitkensis,2
Orf virus,Oreamnos americanus,32
Orf virus,Ovibos moschatus,36
Orf virus,Ovis aries,419
Orf virus,Ovis dalli,12
Orf virus,Rangifer tarandus,13
Orf virus,Rangifer tarandus caribou,3
Orf virus,Rangifer tarandus tarandus,21
Orf virus,Rupicapra rupicapra,46
Orgi virus,Orgyia pseudotsugata,3
Orgyia antiqua nucleopolyhedrovirus,Orgyia antiqua,4
Orgyia mixta nucleopolyhedrovirus,Bracharoa mixta,3
Orgyia pseudotsugata multiple nucleopolyhedrovirus,Lymantriinae,2
Orgyia pseudotsugata single capsid nuclopolyhedrovirus,Orgyia pseudotsugata,1
Oriboca orthobunyavirus,Culex taeniopus,1
Oriboca orthobunyavirus,Culicidae,3
Oriboca orthobunyavirus,Homo sapiens,2
Oriboca orthobunyavirus,Hylaeamys megacephalus,1
Oriboca orthobunyavirus,Mus,5
Oriboca orthobunyavirus,Mus musculus,3
Oriboca orthobunyavirus,Platyrrhini,3
Oriboca orthobunyavirus,Sapajus apella,15
Oriental small-clawed otter gammaherpesvirus,Aonyx cinereus,1
Orientalis fluke virus,Metorchis orientalis,1
Orinoco orinovirus,Pasiphila rectangulata,2
Orivirus A,Gallus gallus,1
Ornamental onion stripe mosaic virus,Allium giganteum,1
Ornamental onion stripe mosaic virus,Allium loratum,1
Ornate chorus frog influenza-like virus,Microhyla fissipes,7
Ornithogalum cuspidatum mosaic virus,Ornithogalum cuspidatum,1
Ornithogalum mosaic virus,Crocus,1
Ornithogalum mosaic virus,Eliokarmos dubius,1
Ornithogalum mosaic virus,Gladiolus,9
Ornithogalum mosaic virus,Iris,4
Ornithogalum mosaic virus,Iris tingitana,1
Ornithogalum mosaic virus,Iris x hollandica,1
Ornithogalum mosaic virus,Iris xiphium,1
Ornithogalum mosaic virus,Lachenalia,8
Ornithogalum mosaic virus,Lachenalia aloides,1
Ornithogalum mosaic virus,Narcissus,1
Ornithogalum mosaic virus,Ornithogalum,44
Ornithogalum mosaic virus,Ornithogalum thyrsoides,3
Ornithogalum mosaic virus,Vanilla planifolia,2
Ornithogalum virus 2,Ornithogalum,10
Ornithogalum virus 2,Ornithogalum thyrsoides,3
Ornithogalum virus 3,Eucomis,1
Ornithogalum virus 3,Lachenalia,3
Ornithogalum virus 3,Ornithogalum,3
Ornithogalum virus 3,Ornithogalum thyrsoides,3
Ornithogalum virus 3,Veltheimia bracteata,1
Ornithogalum virus 4,Ornithogalum,1
Ornithogalum virus 5,Ornithogalum thyrsoides,1
Orogrande virus,Neotoma micropus,1
Oropouche orthobunyavirus,Aedes aegypti,1
Oropouche orthobunyavirus,Bradypus tridactylus,20
Oropouche orthobunyavirus,Callithrix penicillata,6
Oropouche orthobunyavirus,Callithrix sp.,3
Oropouche orthobunyavirus,Cebus sp.,3
Oropouche orthobunyavirus,Culex quinquefasciatus,19
Oropouche orthobunyavirus,Culicoides paraensis,7
Oropouche orthobunyavirus,Homo sapiens,396
Oropouche orthobunyavirus,Ochlerotatus serratus,6
Oropouche orthobunyavirus,Platyrrhini,1
Orsay virus,Caenorhabditis elegans,4
Orthoavulavirus sp.,Arenaria interpres,2
Orthoavulavirus sp.,Galliformes,1
Orthobunyavirus Abbeylake,Culex modestus,2
Orthobunyavirus FSL2923,Homo sapiens,3
Orthobunyavirus sp.,Culicoides,3
Orthobunyavirus sp.,Homo sapiens,183
Orthohantavirus sp.,Apodemus agrarius,40
Orthohantavirus sp.,Apodemus peninsulae,5
Orthohantavirus sp.,Bandicota indica,24
Orthohantavirus sp.,Homo sapiens,9
Orthohantavirus sp.,Mus musculus,11
Orthohantavirus sp.,Peromyscus leucopus,3
Orthohantavirus sp.,Rattus,28
Orthohantavirus sp.,Rattus exulans,6
Orthohantavirus sp.,Rattus norvegicus,224
Orthohantavirus sp.,Rattus tanezumi,1
Orthohantavirus sp.,Reithrodontomys creper,2
Orthohantavirus sp.,Reithrodontomys mexicanus,2
Orthohantavirus sp.,Soricidae,1
Orthohantavirus sp.,Zygodontomys brevicauda,3
Orthohepadnavirus sp.,Trachurus trachurus,1
Orthohepevirus A,Alces alces,13
Orthohepevirus A,Alces americanus,6
Orthohepevirus A,Apodemus flavicollis,1
Orthohepevirus A,Balearica pavonina,1
Orthohepevirus A,Bandicota indica,4
Orthohepevirus A,Bos grunniens,1
Orthohepevirus A,Bos taurus,73
Orthohepevirus A,Callithrix jacchus,2
Orthohepevirus A,Camelus,1
Orthohepevirus A,Camelus bactrianus,14
Orthohepevirus A,Camelus dromedarius,27
Orthohepevirus A,Canis,1
Orthohepevirus A,Capra hircus,42
Orthohepevirus A,Capreolus capreolus,10
Orthohepevirus A,Cervidae,12
Orthohepevirus A,Cervus elaphus,5
Orthohepevirus A,Cervus nippon,1
Orthohepevirus A,Cervus nippon nippon,1
Orthohepevirus A,Crocidura olivieri,1
Orthohepevirus A,Egretta garzetta,1
Orthohepevirus A,Equus asinus,18
Orthohepevirus A,Equus caballus,2
Orthohepevirus A,Falco tinnunculus,2
Orthohepevirus A,Falco vespertinus,1
Orthohepevirus A,Gallus gallus,1
Orthohepevirus A,Homo sapiens,10673
Orthohepevirus A,Lagomorpha,14
Orthohepevirus A,Lama guanicoe,1
Orthohepevirus A,Lepus europaeus,1
Orthohepevirus A,Lophura nycthemera,1
Orthohepevirus A,Macaca fascicularis,19
Orthohepevirus A,Macaca fuscata,1
Orthohepevirus A,Macaca mulatta,9
Orthohepevirus A,Maxomys surifer,1
Orthohepevirus A,Microtus arvalis,24
Orthohepevirus A,Mus musculus,2
Orthohepevirus A,Mus spretus,1
Orthohepevirus A,Mustela lutreola,5
Orthohepevirus A,Mustela putorius furo,36
Orthohepevirus A,Myodes glareolus,1
Orthohepevirus A,Neofelis nebulosa,1
Orthohepevirus A,Neovison vison,4
Orthohepevirus A,Oryctolagus cuniculus,623
Orthohepevirus A,Ovis aries,27
Orthohepevirus A,Paguma larvata,1
Orthohepevirus A,Panthera tigris tigris,2
Orthohepevirus A,Passeridae,1
Orthohepevirus A,Pecari tajacu,2
Orthohepevirus A,Platanistidae,5
Orthohepevirus A,Rattus,23
Orthohepevirus A,Rattus exulans,2
Orthohepevirus A,Rattus flavipectus,2
Orthohepevirus A,Rattus losea,3
Orthohepevirus A,Rattus norvegicus,205
Orthohepevirus A,Rattus rattus,283
Orthohepevirus A,Rattus rattus alexandrinus,4
Orthohepevirus A,Rattus sp.,1
Orthohepevirus A,Rattus tanezumi,14
Orthohepevirus A,Rattus tiomanicus,1
Orthohepevirus A,Simiiformes,7
Orthohepevirus A,Soricidae,1
Orthohepevirus A,Suidae,12
Orthohepevirus A,Suncus murinus,11
Orthohepevirus A,Sundamys muelleri,1
Orthohepevirus A,Sus scrofa,3960
Orthohepevirus A,Sus scrofa domesticus,782
Orthohepevirus A,Sus scrofa leucomystax,159
Orthohepevirus A,Sus scrofa scrofa,18
Orthohepevirus A,Tupaia glis,2
Orthohepevirus A,Ursus americanus,1
Orthohepevirus A,Ursus arctos syriacus,1
