,Taxonomy,Collection_Date,Cumulative_Count,Count
32481,Rhizoctonia solani partitivirus virus 3,2012.0,2,2
32482,Xipapillomavirus 2,2012.0,20,1
32483,Tick-borne encephalitis virus,2012.0,1685,80
32484,Neuropteran orthomyxo-related virus OKIAV190,2012.0,4,4
32485,Neuropteran jingmen-related virus,2012.0,6,6
32486,Picobirnavirus fur seal/AAUST30/BR/2012,2012.0,1,1
32487,Phocine morbillivirus,2012.0,220,3
32488,Halomonas phage phiNB2ah-NB,2012.0,1,1
32489,Cruciviridae sp.,2012.0,105,60
32490,Xipapillomavirus 3,2012.0,14,14
32491,Nova mobatvirus,2012.0,127,50
32492,Odonata-associated circular virus-10,2012.0,4,4
32493,Escherichia phage JohannRWettstein,2012.0,136,136
32494,Picobirnavirus Equ2,2012.0,3,3
32495,Phlebovirus Strandja-BG2012-GIV,2012.0,1,1
32496,Crucivirus-243,2012.0,4,4
32497,Odonata-associated circular virus-20,2012.0,2,2
32498,Klebsiella phage 1 TK-2018,2012.0,48,48
32499,Keijut pohjoismaissa virus 1,2012.0,2,2
32500,Norwalk virus,2012.0,25140,3560
32501,Odonatan flavi-related virus,2012.0,1,1
32502,Crucivirus-245,2012.0,2,2
32503,Rhinovirus B,2012.0,489,34
32504,Picornavirales N_OV_013,2012.0,2,2
32505,Phlebovirus Antigone,2012.0,5,5
32506,Rhodobacter virus RcSpartan,2012.0,122,122
32507,Picornavirales N_OV_039,2012.0,2,2
32508,Phlebovirus,2012.0,2750,190
32509,Terrapene herpesvirus 2,2012.0,1,1
32510,Odonata-associated circular virus-9,2012.0,4,4
32511,Odonata-associated circular virus-8,2012.0,4,4
32512,Nemipterus virgatus ranavirus,2012.0,1,1
32513,Picobirnavirus Equ4,2012.0,3,3
32514,Picobirnavirus GI/PBV/Bovine/India/HP/2012 H2 (col 3),2012.0,1,1
32515,Crucivirus-250,2012.0,4,4
32516,Picornavirales N_OV_064,2012.0,2,2
32517,Picornavirales N_OV_080,2012.0,2,2
32518,Picobirnavirus Equ3,2012.0,3,3
32519,Picornavirales N_OV_011,2012.0,2,2
32520,Grey sealpox virus,2012.0,13,1
32521,Blueberry scorch virus,2012.0,30,1
32522,Rhinolophus pusillus adeno-associated virus 1,2012.0,2,2
32523,Rhinolophus picornavirus,2012.0,2,2
32524,Picornavirales N_OV_003,2012.0,2,2
32525,Kostyavirus,2012.0,8500,1143
32526,Salmonpoxvirus,2012.0,422,420
32527,Picornavirales N_OV_008,2012.0,2,2
32528,Phlebovirus MB173,2012.0,1,1
32529,Kobuvirus 83GR,2012.0,26,26
32530,Niviventer confucianus hunnivirus,2012.0,1,1
32531,Thika virus,2012.0,27,8
32532,Crucivirus-204,2012.0,4,4
32533,Kenaf leaf curl betasatellite,2012.0,4,1
32534,Crucivirus-205,2012.0,4,4
32535,Crucivirus-211,2012.0,2,2
32536,Crucivirus-212,2012.0,3,3
32537,Picobirnavirus Equ1,2012.0,3,3
32538,Crucivirus-224,2012.0,2,2
32539,Tobacco ringspot virus,2012.0,46,4
32540,Blueberry latent virus,2012.0,13,5
32541,Camel contagious ecthyma virus,2012.0,15,8
32542,Odonata-associated circular virus-2,2012.0,4,4
32543,Canine kobuvirus,2012.0,10,3
32544,Croton yellow vein mosaic alphasatellite,2012.0,6,1
32545,Crucivirus-234,2012.0,2,2
32546,Crucivirus-241,2012.0,2,2
32547,Crucivirus-251,2012.0,4,4
32548,Kobuvirus,2012.0,1681,438
32549,Picornavirales N_OV_137,2012.0,2,2
32550,Crucivirus-255,2012.0,3,3
32551,Crucivirus-278,2012.0,4,4
32552,Yarra Bend paramyxovirus,2012.0,1,1
32553,Picobirnavirus GII/PBV/Bovine/India/HP/2012 H7,2012.0,1,1
32554,Salmonid novirhabdovirus,2012.0,524,72
32555,Wuhan Louse Fly Virus 1,2012.0,4,4
32556,Odonata-associated circular virus-7,2012.0,6,6
32557,Negevirus,2012.0,144,3
32558,Yatapoxvirus,2012.0,4,4
32559,Crucivirus-281,2012.0,2,2
32560,Crucivirus-282,2012.0,2,2
32561,Xinzhou Mosquito Virus,2012.0,1,1
32562,Kayfunavirus,2012.0,96,96
32563,Crucivirus-291,2012.0,2,2
32564,Bole Tick Virus 1,2012.0,2,2
32565,African swine fever virus,2012.0,15355,866
32566,Xinmoviridae,2012.0,28,15
32567,Avian orthoreovirus,2012.0,961,167
32568,Crucivirus-295,2012.0,3,3
32569,Crucivirus-298,2012.0,3,3
32570,Odonata-associated circular virus-6,2012.0,2,2
32571,Rift Valley fever phlebovirus,2012.0,1465,12
32572,Tibet orbivirus,2012.0,54,2
32573,Crucivirus-304,2012.0,2,2
32574,Ophiovirus,2012.0,149,63
32575,Crucivirus-305,2012.0,2,2
32576,Koala retrovirus,2012.0,49,4
32577,Avian paraavulavirus 4,2012.0,176,25
32578,Crucivirus-277,2012.0,2,2
32579,Only Syngen Nebraska virus 5,2012.0,714,714
32580,Gyrovirus,2012.0,875,149
32581,Bacilladnaviridae,2012.0,60,26
32582,Lactococcus phage M6162,2012.0,76,76
32583,Wutai mosquito phasivirus,2012.0,6,6
32584,Lactococcus phage M6165,2012.0,74,74
32585,Crucivirus-264,2012.0,4,4
32586,Onion yellow dwarf virus,2012.0,139,19
32587,Picobirnavirus GI/PBV/Bovine/India/HP/2012 H2 (col 7),2012.0,1,1
32588,Kotilavirus,2012.0,114,114
32589,Canine mastadenovirus A,2012.0,56,6
32590,Lactococcus phage M6202,2012.0,38,38
32591,Picobirnavirus GI/PBV/Bovine/India/HP/2012 H2 (col 8),2012.0,1,1
32592,Picobirnavirus GI/PBV/Bovine/India/HP/2012 H7,2012.0,1,1
32593,Thogotovirus,2012.0,17,7
32594,Odonata-associated circular virus-3,2012.0,4,4
32595,Picobirnavirus GI/PBV/Bovine/India/HP/2012 H7 (272p),2012.0,1,1
32596,Neixiang Md bat coronavirus,2012.0,1,1
32597,Odonata-associated circular virus-4,2012.0,4,4
32598,Crucivirus-272,2012.0,2,2
32599,Timquatrovirus,2012.0,4673,1029
32600,Kayvirus,2012.0,2184,225
32601,Crucivirus-276,2012.0,2,2
32602,Lactococcus phage RH10,2012.0,56,56
32603,Salmonivirus,2012.0,6,3
32604,Gyrovirus galga1,2012.0,67,16
32605,Tartou virus,2012.0,1,1
32606,Picornavirales N_OV_001,2012.0,2,2
32607,Rhodobacter virus RcCronus,2012.0,46,46
32608,Norway rat pegivirus,2012.0,9,9
32609,Avipoxvirus sp.,2012.0,17,2
32610,Phlebovirus Strandja-BG2012-GIII-strainCR,2012.0,1,1
32611,Rice tungro spherical virus,2012.0,17,5
32612,Phlebovirus Strandja-BG2012-GIII-strainCQ,2012.0,1,1
32613,Phlebovirus Strandja-BG2012-GII-strainEV,2012.0,1,1
32614,Klebsiella virus Pharr,2012.0,94,94
32615,Groundnut bud necrosis orthotospovirus,2012.0,137,21
32616,Rhinolophus pusillus bocaparvovirus 1,2012.0,6,6
32617,Boid arenavirus,2012.0,10,9
32618,Phlebovirus Strandja-BG2012-GII-strainCS,2012.0,1,1
32619,Avian polyomavirus,2012.0,3,3
32620,Bokeloh bat lyssavirus,2012.0,20,10
32621,Odonata-associated circular virus-16,2012.0,4,4
32622,Picobirnavirus sp.,2012.0,13,3
32623,Salovirus,2012.0,6,2
32624,Odonata-associated circular virus-17,2012.0,4,4
32625,Odonata-associated circular virus-18,2012.0,10,10
32626,Rice yellow mottle virus,2012.0,175,23
32627,Norway rat kobuvirus 1,2012.0,3,3
32628,Boginia virus,2012.0,5,1
32629,Omikronpapillomavirus,2012.0,32,6
32630,Rhinovirus C,2012.0,2581,171
32631,Phlebovirus Strandja-BG2012-GIII-strainEP,2012.0,1,1
32632,Blueberry red ringspot virus,2012.0,78,4
32633,Thetaarterivirus kafuba,2012.0,28,28
32634,Odontoglossum ringspot virus,2012.0,93,8
32635,Taupapillomavirus 3,2012.0,38,8
32636,Camelpox virus,2012.0,117,21
32637,Samistivirus,2012.0,452,452
32638,Groundnut ringspot orthotospovirus,2012.0,50,10
32639,Odonata-associated circular virus-15,2012.0,4,4
32640,Yam yellow spot mosaic virus,2012.0,8,1
32641,Babuvirus,2012.0,1890,658
32642,Tobacco necrosis virus A,2012.0,16,5
32643,Rice tungro bacilliform virus,2012.0,47,15
32644,Picobirnavirus,2012.0,767,225
32645,Omegavirus,2012.0,5684,2181
32646,Avibirnavirus,2012.0,1907,185
32647,Erythrocebus patas adenovirus,2012.0,1,1
32648,Titanvirus,2012.0,122,122
32649,Phycodnaviridae sp.,2012.0,11,11
32650,Tobacco necrosis virus D,2012.0,39,2
32651,Tobacco necrosis virus X,2012.0,1,1
32652,Taupapillomavirus,2012.0,70,8
32653,Sapovirus Hu/GI/Ouagadougou/BF118/2012/BFA,2012.0,1,1
32654,African termite bidnaparvovirus,2012.0,7,7
32655,Baculoviridae,2012.0,22885,1475
32656,Norovirus,2012.0,25161,3560
32657,Guinea fowl circovirus,2012.0,1,1
32658,Odonata-associated circular virus-19,2012.0,6,6
32659,Canine morbillivirus,2012.0,1408,253
32660,Phlebovirus Strandja-BG2012-GI-strainEU,2012.0,1,1
32661,Nipah henipavirus,2012.0,343,48
32662,Bluetongue virus,2012.0,5972,290
32663,Norway rat hunnivirus,2012.0,2,2
32664,Omono River virus,2012.0,10,2
32665,Phlebovirus Strandja-BG2012-GI-strainCY,2012.0,1,1
32666,Tobacco rattle virus,2012.0,144,5
32667,Phlebovirus Strandja-BG2012-GI-strainCT,2012.0,1,1
32668,Omikronpapillomavirus 1,2012.0,32,6
32669,Phlebovirus Strandja-BG2012-GI-strainER,2012.0,1,1
32670,Crimean-Congo hemorrhagic fever orthonairovirus,2012.0,1858,535
32671,Yersinia virus YeF10,2012.0,92,92
32672,Niviventer confucianus picornavirus,2012.0,3,3
32673,Rhinolophus pusillus bocaparvovirus 2,2012.0,6,6
32674,Wuhan alpharicinrhavirus,2012.0,12,12
32675,Camel papillomavirus,2012.0,2,2
32676,Phlebovirus Strandja-BG2012-GI-strainET,2012.0,1,1
32677,Paramyxovirus PREDICT_PMV-42,2013.0,1,1
32678,Timquatrovirus,2013.0,6796,2123
32679,Paramyxovirus PREDICT_PMV-41,2013.0,1,1
32680,Fox fecal rhabdovirus,2013.0,16,16
32681,Dipteran anphevirus,2013.0,8,8
32682,Picobirnavirus PREDICT_PbV-52,2013.0,4,4
32683,Penicillium roqueforti ssRNA mycovirus 1,2013.0,4,4
32684,Pineapple mealybug wilt-associated virus 2,2013.0,18,2
32685,Treisepsilonpapillomavirus 1,2013.0,14,14
32686,Cosmacovirus bovas1,2013.0,4,4
32687,Fowlpox virus,2013.0,922,21
32688,Paramyxovirus PREDICT_PMV-40,2013.0,2,2
32689,Tremovirus,2013.0,66,20
32690,Chronic bee paralysis virus,2013.0,63,10
32691,Paramyxovirus PREDICT_PMV-39,2013.0,2,2
32692,Chrysanthemum virus B,2013.0,4,2
32693,Betacoronavirus,2013.0,8584,2395
32694,Paramyxovirus PREDICT_PMV-13,2013.0,17,15
32695,Paramyxovirus PREDICT_PMV-38,2013.0,1,1
32696,Paramyxovirus PREDICT_PMV-35,2013.0,1,1
32697,Paramyxovirus PREDICT_PMV-37,2013.0,1,1
32698,Paramyxovirus PREDICT_PMV-36,2013.0,1,1
32699,Dipteran beidivirus,2013.0,6,6
32700,Picobirnavirus PREDICT_PbV-47,2013.0,2,2
32701,Bat coronavirus 1,2013.0,71,57
32702,Beak and feather disease virus,2013.0,1237,91
32703,Picobirnavirus PREDICT_PbV-45,2013.0,5,5
32704,Picobirnavirus PREDICT_PbV-44,2013.0,1,1
32705,Treisepsilonpapillomavirus,2013.0,14,14
32706,Dipteran phasivirus,2013.0,6,6
32707,Spilosoma obliqua nucleopolyhedrosis virus,2013.0,5,5
32708,Spilarctia obliqua nucleopolyhedrovirus,2013.0,1,1
32709,Chobar Gorge virus,2013.0,48,12
32710,Dipteran phasma-related virus OKIAV224,2013.0,2,2
32711,Fox kobuvirus,2013.0,10,2
32712,Mischivirus D,2013.0,18,1
32713,Mystacina coronavirus New Zealand/2013,2013.0,5,5
32714,Picobirnavirus PREDICT_PbV-53,2013.0,1,1
32715,Paramyxovirus PREDICT_PMV-48,2013.0,1,1
32716,Mischivirus,2013.0,48,17
32717,Dipteran phasma-related virus OKIAV225,2013.0,2,2
32718,Paramyxovirus PREDICT_PMV-47,2013.0,2,2
32719,Pineapple mealybug wilt-associated virus 3,2013.0,8,1
32720,Picobirnavirus PREDICT_PbV-43,2013.0,4,4
32721,Dipteran hudivirus,2013.0,6,6
32722,Mivirus,2013.0,37,1
32723,Picobirnavirus PREDICT_PbV-38,2013.0,16,16
32724,Paramyxovirus PREDICT_PMV-43,2013.0,1,1
32725,Cotton leaf curl Burewala alphasatellite,2013.0,95,40
32726,Tilapia tilapinevirus,2013.0,48,10
32727,Myoviridae sp. ctx322,2013.0,84,84
32728,Penicillium discovirus,2013.0,3,3
32729,Paramyxovirus PREDICT_PMV-44,2013.0,2,2
32730,Spinach latent virus,2013.0,8,5
32731,Digera arvensis yellow vein betasatellite,2013.0,4,1
32732,Paramyxovirus PREDICT_PMV-46,2013.0,1,1
32733,Dipteran orthomyxo-related virus OKIAV195,2013.0,4,4
32734,Picobirnavirus PREDICT_PbV-42,2013.0,2,2
32735,Paramyxovirus PREDICT_PMV-15,2013.0,6,2
32736,Dipteran flavi-related virus,2013.0,3,2
32737,Cosmacovirus,2013.0,4,4
32738,Paramyxovirus PREDICT_PMV-29,2013.0,2,1
32739,Myriavirus myriapedis,2013.0,8,8
32740,Myriapod hubavirus,2013.0,9,9
32741,Strawberry necrotic shock virus,2013.0,9,2
32742,Myriaviridae,2013.0,8,8
32743,Myriavirus,2013.0,8,8
32744,Bat coronavirus A977/A970,2013.0,1,1
32745,Fox fecal kobuvirus,2013.0,1,1
32746,Strawberry vein banding virus,2013.0,10,2
32747,Picobirnavirus PREDICT_PbV-5,2013.0,2,2
32748,Dioscorea mosaic associated virus,2013.0,2,2
32749,Trematomus pennellii polyomavirus 1,2013.0,8,8
32750,Cytorhabdovirus,2013.0,154,56
32751,Fowl aviadenovirus sp.,2013.0,2,2
32752,Pineapple mealybug wilt-associated virus 1,2013.0,32,1
32753,Tomato chlorotic spot orthotospovirus,2013.0,89,34
32754,Paramyxovirus IFBPV32/2012,2013.0,2,1
32755,Dabie bandavirus,2013.0,1237,575
32756,Fox fecal bunyavirus,2013.0,2,2
32757,Soymovirus,2013.0,92,14
32758,Paramyxovirus IFBPV25/2011/PREDICT-INDSWBT-123,2013.0,1,1
32759,Fowl aviadenovirus E,2013.0,560,146
32760,Paramyxoviridae,2013.0,32487,3919
32761,Picobirnavirus PREDICT_PbV-46,2013.0,5,5
32762,Sicinivirus,2013.0,7,1
32763,Pilchard orthomyxovirus,2013.0,115,47
32764,Mitoviridae,2013.0,242,101
32765,Penoulivirus,2013.0,2,1
32766,Pillworm peropuvirus,2013.0,2,2
32767,Picobirnavirus PREDICT_PbV-48,2013.0,7,7
32768,Strawberry polerovirus 1,2013.0,23,22
32769,Picobirnavirus PREDICT_PbV-40,2013.0,1,1
32770,Picobirnavirus PREDICT_PbV-49,2013.0,1,1
32771,Penaeus monodon nucleopolyhedrovirus,2013.0,15,1
32772,Tremovirus A,2013.0,53,20
32773,Atuphduovirus,2013.0,226,226
32774,Mischivirus B,2013.0,2,2
32775,Paramyxovirus IFBPV25/2011/PREDICT-INDSWBT-139,2013.0,1,1
32776,Spheniscid alphaherpesvirus 1,2013.0,258,172
32777,Bavovirus,2013.0,19,4
32778,Penaeus stylirostris densovirus,2013.0,5,1
32779,Mypoviridae,2013.0,10,9
32780,Picobirnavirus PREDICT_PbV-51,2013.0,9,9
32781,Pigeonpox virus,2013.0,8,3
32782,Tilapinevirus,2013.0,48,10
32783,Treiszetapapillomavirus,2013.0,24,24
32784,Arequatrovirus,2013.0,168,168
32785,Streptomyces phage Asten,2013.0,73,73
32786,Penstyldensovirus,2013.0,186,9
32787,Arenaviridae,2013.0,3101,362
32788,Picobirnavirus PREDICT_PbV-4,2013.0,14,14
32789,Spiranthes mosaic virus 3,2013.0,7,1
32790,Picobirnavirus PREDICT_PbV-39,2013.0,1,1
32791,Paramyxovirus IFBPV25/2011/PREDICT-INDSWBT-129,2013.0,1,1
32792,Avipoxvirus sp.,2013.0,21,4
32793,Paramyxoviridae sp.,2013.0,76,22
32794,Picobirnavirus PREDICT_PbV-41,2013.0,4,4
32795,Arenavirus,2013.0,155,2
32796,Dinoroseobacter phage vB_DshP-R7L,2013.0,83,83
32797,Diphylla ecaudata gammaherpesvirus,2013.0,3,3
32798,Treiszetapapillomavirus 1,2013.0,24,24
32799,Myoviridae sp. ctzwE5,2013.0,66,66
32800,Dabieshan uukuvirus,2013.0,3,3
32801,Picobirnavirus PREDICT_PbV-50,2013.0,3,3
32802,Strawberry mottle virus,2013.0,8,6
32803,Arenavirus sp.,2013.0,35,1
32804,Mirabilis leaf curl betasatellite,2013.0,2,2
32805,Mirabilis leaf curl virus,2013.0,12,12
32806,Bean common mosaic necrosis virus,2013.0,19,8
32807,Mischivirus C,2013.0,14,14
32808,Mitovirus,2013.0,242,101
32809,Mirabilis leaf curl India virus associated betasatellite,2013.0,2,2
32810,Tomato common mosaic virus,2013.0,181,10
32811,Potato virus Y,2013.0,1972,168
32812,Fox fecal picobirnavirus,2013.0,2,2
32813,Paramyxovirus PREDICT_PMV-25,2013.0,1,1
32814,Tres Almendras phlebovirus,2013.0,8,8
32815,Sicinivirus A,2013.0,6,1
32816,Mycobacterium phage SirPhilip,2013.0,194,194
32817,Picobirnavirus PREDICT_PbV-36,2013.0,1,1
32818,Soybean leaf crinkle mottle virus,2013.0,11,11
32819,Pepper mottle virus,2013.0,15,8
32820,Papaya leaf curl betasatellite,2013.0,22,4
32821,Piscihepevirus A,2013.0,62,2
32822,Sida yellow vein alphasatellite,2013.0,2,2
32823,Picobirnavirus PREDICT_PbV-116,2013.0,2,2
32824,Beaumont virus,2013.0,18,1
32825,Dromedary stool-associated circular ssDNA virus,2013.0,22,22
32826,Picobirnavirus PREDICT_PbV-115,2013.0,1,1
32827,Myoviridae sp. ctTOm1,2013.0,26,26
32828,Drop sclerotimonavirus,2013.0,10,10
32829,Norovirus,2013.0,28784,3623
32830,Drosmacovirus,2013.0,58,12
32831,Betaarterivirus,2013.0,608,48
32832,Picobirnavirus PREDICT_PbV-114,2013.0,6,6
32833,Picobirnavirus PREDICT_PbV-113,2013.0,2,2
32834,Picobirnavirus PREDICT_PbV-112,2013.0,3,3
32835,Escherichia virus EC2,2013.0,120,120
32836,Drosophila immigrans Nora virus,2013.0,4,4
32837,Pepper vein yellows virus,2013.0,216,28
32838,Mopeia mammarenavirus,2013.0,21,1
32839,Picobirnavirus PREDICT_PbV-111,2013.0,1,1
32840,Papaya leaf curl China virus,2013.0,108,10
32841,Circovirus,2013.0,7046,1162
32842,Atractylodes mottle virus,2013.0,12,12
32843,Tick phlebovirus,2013.0,9,9
32844,Drosophila immigrans sigmavirus,2013.0,193,12
32845,Dromedary picobirnavirus,2013.0,55,55
32846,Picobirnavirus PREDICT_PbV-110,2013.0,2,2
32847,Dromedary astrovirus,2013.0,20,20
32848,Bean yellow mosaic virus,2013.0,137,22
32849,Picobirnavirus PREDICT_PbV-16,2013.0,2,2
32850,Picobirnavirus PREDICT_PbV-15,2013.0,3,3
32851,Arteriviridae sp.,2013.0,41,3
32852,Picobirnavirus PREDICT_PbV-14,2013.0,7,7
32853,Picobirnavirus PREDICT_PbV-13,2013.0,2,2
32854,Fowl adenovirus,2013.0,163,35
32855,Drexlerviridae,2013.0,3264,377
32856,Coronavirus Susurluk10,2013.0,1,1
32857,Potato virus M,2013.0,452,22
32858,Cynomolgus cytomegalovirus,2013.0,865,865
32859,Bean rugose mosaic virus,2013.0,5,4
32860,Picobirnavirus PREDICT_PbV-121,2013.0,1,1
32861,Circoviridae,2013.0,8131,1239
32862,Foveavirus,2013.0,2113,1103
32863,Cymbidium mosaic virus,2013.0,130,5
32864,Toscana phlebovirus,2013.0,220,35
32865,Picobirnavirus PREDICT_PbV-120,2013.0,1,1
32866,Babuvirus,2013.0,1931,41
32867,Picobirnavirus PREDICT_PbV-12,2013.0,17,17
32868,Papaya leaf distortion mosaic virus,2013.0,18,1
32869,Picobirnavirus PREDICT_PbV-119,2013.0,1,1
32870,Picobirnavirus PREDICT_PbV-118,2013.0,4,4
32871,Pepper mild mottle virus,2013.0,231,17
32872,Escherichia virus AYO145A,2013.0,262,262
32873,Monodontid alphaherpesvirus 1,2013.0,179,2
32874,Betaarterivirus suid 1,2013.0,74,10
32875,Mononiviridae,2013.0,2,2
32876,Picobirnavirus PREDICT_PbV-117,2013.0,1,1
32877,Streptomyces phage Popy,2013.0,84,84
32878,Picobirnavirus PREDICT_PbV-11,2013.0,6,6
32879,Cydia pomonella granulovirus,2013.0,180,5
32880,Streptomyces virus Jay2Jay,2013.0,470,470
32881,Coronavirus PREDICT CoV-66,2013.0,1,1
32882,Coronavirus PREDICT CoV-65,2013.0,2,2
32883,Picobirnavirus PREDICT_PbV-103,2013.0,1,1
32884,Potato mop-top virus,2013.0,229,16
32885,Pepper yellow vein Mali virus,2013.0,176,62
32886,Bat coronavirus,2013.0,535,204
32887,Pandoravirus neocaledonia,2013.0,2162,2162
32888,Sifaka hepacivirus,2013.0,8,2
32889,Cyclovirus,2013.0,457,30
32890,Circovirus sp.,2013.0,7,6
32891,Picobirnavirus PREDICT_PbV-102,2013.0,3,3
32892,Bernalvirus,2013.0,378,67
32893,Streptomyces virus Manuel,2013.0,126,126
32894,Pepper yellows virus,2013.0,19,17
32895,Picobirnavirus PREDICT_PbV-101,2013.0,8,8
32896,Potato leafroll virus,2013.0,217,26
32897,Streptomyces virus Peebs,2013.0,452,452
32898,Picobirnavirus PREDICT_PbV-100,2013.0,1,1
32899,Pandoravirus,2013.0,10840,2162
32900,Picobirnavirus PREDICT_PbV-10,2013.0,3,3
32901,Sigmavirus,2013.0,1289,86
32902,Picobirnavirus PREDICT_PbV-1,2013.0,11,11
32903,Coronavirus PREDICT CoV-63,2013.0,18,18
32904,Fly phasivirus,2013.0,6,6
32905,Fly associated circular virus 7,2013.0,4,4
32906,Southwest baboon virus 1,2013.0,28,28
32907,Foot-and-mouth disease virus,2013.0,7109,518
32908,Beauveria bassiana victorivirus 1,2013.0,2,2
32909,Coronavirus PREDICT CoV-67,2013.0,3,3
32910,Drulisvirus,2013.0,594,118
32911,Papaya leaf crumple virus,2013.0,82,12
32912,Picobirnavirus PREDICT_PbV-109,2013.0,13,13
32913,Pepper vein yellows virus 5,2013.0,14,14
32914,Picobirnavirus PREDICT_PbV-108,2013.0,1,1
32915,Norovirus sp.,2013.0,23,12
32916,Myoviridae sp. ctQ6D10,2013.0,21,21
32917,Panulirus argus virus 1,2013.0,118,1
32918,Tomato leaf curl Barka virus,2013.0,36,36
32919,Picobirnavirus PREDICT_PbV-107,2013.0,4,4
32920,Coronavirus PREDICT_CoV-50,2013.0,1,1
32921,Picobirnavirus PREDICT_PbV-106,2013.0,16,16
32922,Coronavirus PREDICT_CoV-49,2013.0,1,1
32923,Pepper veinal mottle virus,2013.0,9,1
32924,Soybean chlorotic mottle virus,2013.0,8,8
32925,Picobirnavirus PREDICT_PbV-105,2013.0,1,1
32926,North American arenavirus strain P0070018,2013.0,1,1
32927,Becurtovirus,2013.0,206,10
32928,Picobirnavirus PREDICT_PbV-104,2013.0,3,3
32929,Cyclovirus sp.,2013.0,2,2
32930,Coronavirus PREDICT_CoV-17,2013.0,1,1
32931,Streptomyces virus AbbeyMikolon,2013.0,118,118
32932,Coronavirus PREDICT CoV-71,2013.0,1,1
32933,Pepper yellow leaf curl Thailand virus,2013.0,40,20
32934,Soybean blotchy mosaic virus,2013.0,26,5
32935,Myoviridae sp. ctNDZ29,2013.0,12,12
32936,Coronavirus PREDICT CoV-70,2013.0,1,1
32937,Coronavirus PREDICT CoV-68,2013.0,5,5
32938,Bee Macula-like virus,2013.0,18,2
32939,Picobirnavirus PREDICT_PbV-37,2013.0,5,5
32940,Picobirnavirus PREDICT_PbV-17,2013.0,1,1
32941,Tospoviridae,2013.0,3582,370
32942,Picobirnavirus PREDICT_PbV-25,2013.0,1,1
32943,Pepo aphid-borne yellows virus,2013.0,71,13
32944,Paraavulavirus,2013.0,202,12
32945,Cosavirus,2013.0,157,7
32946,Dolphin mastadenovirus B,2013.0,58,2
32947,Avisivirus,2013.0,44,2
32948,Tico phebovirus,2013.0,4,4
32949,Picobirnavirus PREDICT_PbV-24,2013.0,1,1
32950,Mobatvirus,2013.0,303,147
32951,Soybean vein necrosis-associated virus,2013.0,15,15
32952,Picobirnavirus PREDICT_PbV-23,2013.0,4,4
32953,Soybean vein necrosis orthotospovirus,2013.0,58,1
32954,Pepper cryptic virus 2,2013.0,7,2
32955,Picobirnavirus PREDICT_PbV-22,2013.0,1,1
32956,Picobirnavirus PREDICT_PbV-21,2013.0,1,1
32957,Papyrusvirus,2013.0,598,100
32958,Picobirnavirus PREDICT_PbV-20,2013.0,1,1
32959,Picobirnavirus PREDICT_PbV-2,2013.0,6,6
32960,Tick-borne encephalitis virus,2013.0,1816,131
32961,Paprika mild mottle virus,2013.0,4,4
32962,Bean golden mosaic virus,2013.0,1022,4
32963,Avisivirus Pf-CHK1/AsV,2013.0,2,2
32964,Siphoviridae sp. ctr8v12,2013.0,100,100
32965,Papio hamadryas lymphocryptovirus 2,2013.0,1,1
32966,Mogiana tick virus,2013.0,213,5
32967,Potato virus X,2013.0,265,58
32968,Avocet calicivirus,2013.0,2,2
32969,Picobirnavirus PREDICT_PbV-26,2013.0,4,4
32970,Avocet megrivirus,2013.0,2,2
32971,Picobirnavirus PREDICT_PbV-27,2013.0,1,1
32972,Cystoviridae,2013.0,132,61
32973,Dipteran tombus-related virus,2013.0,19,7
32974,Dishui lake phycodnavirus 1,2013.0,454,454
32975,Nodaviridae,2013.0,1037,171
32976,Tree shrew astrovirus,2013.0,3,2
32977,Bean common mosaic virus,2013.0,141,62
32978,Betachrysovirus,2013.0,57,4
32979,Siphoviridae sp. cts2b7,2013.0,4,4
32980,Dobrava-Belgrade orthohantavirus,2013.0,433,176
32981,Cytomegalovirus,2013.0,47596,4837
32982,Picobirnavirus PREDICT_PbV-35,2013.0,1,1
32983,Picobirnavirus PREDICT_PbV-34,2013.0,1,1
32984,Cystoviridae sp.,2013.0,61,61
32985,Traversvirus,2013.0,91,91
32986,Picobirnavirus PREDICT_PbV-33,2013.0,1,1
32987,Arhar cryptic virus-I,2013.0,4,4
32988,Picobirnavirus PREDICT_PbV-32,2013.0,3,3
32989,Picobirnavirus PREDICT_PbV-31,2013.0,13,13
32990,Arhar cryptic virus-II,2013.0,1,1
32991,Picobirnavirus PREDICT_PbV-30,2013.0,1,1
32992,Chrysoviridae,2013.0,199,15
32993,Mobala mammarenavirus,2013.0,5,2
32994,Pepino mosaic virus,2013.0,814,37
32995,Fowl aviadenovirus D,2013.0,615,10
32996,Dog astrovirus,2013.0,2,1
32997,Soybean yellow common mosaic virus,2013.0,48,7
32998,Picobirnavirus PREDICT_PbV-3,2013.0,1,1
32999,Picobirnavirus PREDICT_PbV-29,2013.0,2,2
33000,Picobirnavirus PREDICT_PbV-28,2013.0,1,1
33001,Avulavirus sp.,2013.0,146,146
33002,Avocet picornavirus,2013.0,1,1
33003,Chrysovirus,2013.0,40,1
33004,Fowl aviadenovirus A,2013.0,173,6
33005,Dragonfly larvae associated circular virus-10,2013.0,18,12
33006,Piscihepevirus,2013.0,62,2
33007,Myoviridae sp. ctaMv1,2013.0,21,21
33008,Molluscum contagiosum virus,2013.0,1815,40
33009,Dragonfly larvae associated circular virus-3,2013.0,14,8
