,Species,Region,Count,Geographical_Region
35750,Ustilaginoidea virens partitivirus S2,Asia,1,
35751,Ustilaginoidea virens unassigned RNA virus HNND-1,Asia,4,
35752,Usutu virus,Africa,17,
35753,Usutu virus,Asia,9,
35754,Usutu virus,Europa,980,
35755,Utinga orthobunyavirus,North America,3,
35756,Utinga orthobunyavirus,South America,6,
35757,Utkilio virus,South America,4,
35758,Uukuniemi phlebovirus,Asia,4,
35759,Uukuniemi phlebovirus,Europa,26,
35760,Uukuniemi phlebovirus,North America,4,
35761,Uukuniemi phlebovirus,Oceans and Seas,2,
35762,Uukuniemi uukuvirus,Europa,10,
35763,Uumaja virus,Europa,1,
35764,Uurainen virus,Europa,1,
35765,Uxmal virus,North America,4,
35766,VDV-1/DWV recombinant 4,Asia,1,
35767,VEM begomovirus 5,North America,32,
35768,Vaccinia virus,Asia,3994,
35769,Vaccinia virus,Europa,1572,
35770,Vaccinia virus,North America,7559,
35771,Vaccinia virus,South America,2902,
35772,Vai augu virus,North America,3,
35773,Vallota mosaic virus,Europa,1,
35774,Vallota mosaic virus,North America,1,
35775,Vallota mosaic virus,Oceans and Seas,2,
35776,Vallota speciosa potyvirus - New Zealand,Oceans and Seas,1,
35777,Vallota speciosa potyvirus - SKR-2013,Asia,2,
35778,Vallota speciosa potyvirus NBRI-3,Asia,1,
35779,Vallota speciosa potyvirus NBRI-4,Asia,1,
35780,Vallota speciosa virus - Narcissus/GBR/2008,Europa,1,
35781,Valmbacken virus,Europa,1,
35782,Valsa ceratosperma hypovirus 1,Asia,2,
35783,Valsa cypri RNA virus,Asia,1,
35784,Valsa cypri mitovirus,Asia,1,
35785,Valsa cypri partitivirus,Asia,2,
35786,Valsa malicola mitovirus 1,Asia,1,
35787,Valsa malicola mitovirus 2,Asia,1,
35788,Valsa malicola partitivirus,Asia,1,
35789,Vandelay partiti-like virus,Oceans and Seas,1,
35790,Vanilla distortion mosaic virus,Asia,10,
35791,Vanilla latent virus,Africa,12,
35792,Vanilla virus X,Africa,10,
35793,Vannostrand partiti-like virus,Oceans and Seas,1,
35794,Vansystermes virus,Oceans and Seas,3,
35795,Vaprio ledantevirus,Europa,12,
35796,Varanid adenovirus Leipzig/12/2007,Europa,1,
35797,Varicolored abalone xenomavirus,Asia,6,
35798,Variola virus,Africa,14,
35799,Variola virus,Asia,31,
35800,Variola virus,Europa,416,
35801,Variola virus,North America,2,
35802,Variola virus,South America,2,
35803,Varley virus,Antarctica,1,
35804,Varnsen partiti-like virus,Oceans and Seas,1,
35805,Varroa Tymo-like virus,North America,4,
35806,Varroa destructor Macula-like virus,Asia,1,
35807,Varroa destructor Macula-like virus,Europa,6,
35808,Varroa destructor virus,Asia,3,
35809,Varroa destructor virus 1,Asia,15,
35810,Varroa destructor virus 1,Europa,70,
35811,Varroa destructor virus 1,South America,4,
35812,Varroa destructor virus 2,Asia,3,
35813,Varroa destructor virus 2,Europa,1,
35814,Varroa destructor virus 3,Asia,8,
35815,Varroa destructor virus 3,North America,2,
35816,Varroa destructor virus 3/5,Asia,30,
35817,Varroa destructor virus 4,Asia,2,
35818,Varroa destructor virus 5,Europa,2,
35819,Varroa dicistrovirus 1,Asia,1,
35820,Varroa dicistrovirus 2,Asia,2,
35821,Varroa jacobsoni rhabdovirus 1,Oceans and Seas,5,
35822,Varroa jacobsoni rhabdovirus 2,Oceans and Seas,5,
35823,Varroa jacobsoni virus 2,Oceans and Seas,2,
35824,Varroa jacobsoni virus 4,Oceans and Seas,2,
35825,Varroa mite associated genomovirus 1,Oceans and Seas,6,
35826,Varroa mite associated virus 1,Oceans and Seas,4,
35827,Varroa orthomyxovirus-1,Asia,66,
35828,Varroa picorna-like virus,Asia,1,
35829,Veiled chameleon orthoreovirus,North America,11,
35830,Veiled chameleon serpentovirus A,North America,10,
35831,Veiled chameleon serpentovirus B,North America,8,
35832,Vellore virus,Asia,2,
35833,Veltheimia mosaic virus,Europa,3,
35834,Veltheimia mosaic virus,Oceans and Seas,1,
35835,Veltheimia virus Y,Europa,1,
35836,Velvet bean golden mosaic virus,Asia,42,
35837,Velvet bean severe mosaic virus,Asia,19,
35838,Velvet tobacco mottle virus,Oceans and Seas,48,
35839,Vendavirus caenivivens,North America,3,
35840,Venezuelan equine encephalitis virus,North America,233,
35841,Venezuelan equine encephalitis virus,Oceans and Seas,6,
35842,Venezuelan equine encephalitis virus,South America,212,
35843,Vera virus,North America,4,
35844,Verbena canadensis potyvirus MA-2005,North America,1,
35845,Verbena latent virus,Oceans and Seas,6,
35846,Verbena mottle virus,South America,14,
35847,Verbena virus Y,North America,13,
35848,Verdadero virus,North America,2,
35849,Vernevirus limadaptatum,North America,3,
35850,Vernonia crinkle betasatellite,Africa,3,
35851,Vernonia crinkle virus,Africa,18,
35852,Vernonia green vein-banding virus,Africa,1,
35853,Vernonia yellow vein Fujian alphasatellite,Asia,4,
35854,Vernonia yellow vein Fujian betasatellite,Asia,2,
35855,Vernonia yellow vein Fujian virus,Asia,12,
35856,Vernonia yellow vein betasatellite,Asia,2,
35857,Vernonia yellow vein virus,Asia,14,
35858,Verrucomicrobia phage P8625,Asia,104,
35859,Verticillium albo-atrum partitivirus-1,North America,2,
35860,Verticillium dahliae RNA virus,Europa,6,
35861,Verticillium dahliae chrysovirus 1,Asia,8,
35862,Verticillium dahliae partitivirus 1,Asia,6,
35863,Verticillium longisporum ambiguivirus 1,North America,2,
35864,Vesanto virus,Europa,59,
35865,Vesehyavirus pedohabitans,North America,3,
35866,Vesicular exanthema of swine virus,Asia,2,
35867,Vesicular exanthema of swine virus,Europa,1,
35868,Vesicular exanthema of swine virus,North America,14,
35869,Vesicular stomatitis virus,Europa,544,
35870,Vesicular stomatitis virus,North America,308,
35871,Vesicular stomatitis virus,South America,38,
35872,Vesivirus ferret badger/JX12/China/2012,Asia,6,
35873,Vespa velutina Moku virus,Europa,1,
35874,Vespa velutina RNA virus 1,Europa,1,
35875,Vespa velutina RNA virus 2,Europa,1,
35876,Vespa velutina RNA virus 3,Europa,1,
35877,Vespa velutina associated acypi-like virus,Asia,4,
35878,Vespa velutina densovirus 1,Europa,1,
35879,Vespa velutina partiti-like virus 1,Europa,1,
35880,Vespa velutina partiti-like virus 2,Europa,1,
35881,Vespadelus baverstocki alphacoronavirus,Oceans and Seas,1,
35882,Vespadelus regulus adenovirus,Oceans and Seas,3,
35883,Vespadelus regulus alphacoronavirus,Oceans and Seas,5,
35884,Vespadelus regulus paramyxovirus,Oceans and Seas,2,
35885,Vespertilionid betacoronavirus,Asia,3,
35886,Vespucci virus,Antarctica,1,
35887,Vespula vulgaris Luteo-like virus 2,Europa,2,
35888,Vespula vulgaris Moku-like virus,Europa,1,
35889,Vespula vulgaris Partiti-like virus 1,Oceans and Seas,1,
35890,Vespula vulgaris Partiti-like virus 2,Oceans and Seas,1,
35891,Vespula vulgaris Permutotera-like virus 1,Europa,4,
35892,Vespula vulgaris Picorna-like virus 1,Oceans and Seas,2,
35893,Vespula vulgaris Picorna-like virus 2,Europa,1,
35894,Vespula vulgaris Sobemo-like virus 1,Europa,2,
35895,Vespula vulgaris luteo-like virus 1,Oceans and Seas,2,
35896,Vibrio cholerae,Asia,5,
35897,Vibrio phage 1,Asia,125,
35898,Vibrio phage 1.003.O._10N.286.48.A2,North America,72,
35899,Vibrio phage 1.004.O._10N.261.54.A2,North America,50,
35900,Vibrio phage 1.005.O._10N.286.48.F2,North America,69,
35901,Vibrio phage 1.007.O._10N.261.55.F9,North America,80,
35902,Vibrio phage 1.009.O._10N.261.51.C9,North America,62,
35903,Vibrio phage 1.011.O._10N.286.49.B11,North America,20,
35904,Vibrio phage 1.012.O._10N.261.48.C12,North America,98,
35905,Vibrio phage 1.013.O._10N.286.54.F9,North America,67,
35906,Vibrio phage 1.015.O._10N.222.51.E5,North America,66,
35907,Vibrio phage 1.016.O._10N.286.46.A11,North America,89,
35908,Vibrio phage 1.017.O._10N.286.55.C11,North America,73,
35909,Vibrio phage 1.021.A._10N.222.51.F9,North America,50,
35910,Vibrio phage 1.021.B._10N.222.51.F9,North America,50,
35911,Vibrio phage 1.021.C._10N.222.51.F9,North America,50,
35912,Vibrio phage 1.022.O._10N.286.45.A10,North America,96,
35913,Vibrio phage 1.023.O._10N.222.51.B4,North America,91,
35914,Vibrio phage 1.024.O._10N.261.45.F8,North America,83,
35915,Vibrio phage 1.025.O._10N.222.46.B6,North America,108,
35916,Vibrio phage 1.027.O._10N.286.54.B8,North America,85,
35917,Vibrio phage 1.028.O._10N.286.45.B6,North America,50,
35918,Vibrio phage 1.029.O._10N.261.55.A7,North America,83,
35919,Vibrio phage 1.030.O._10N.222.55.F9,North America,66,
35920,Vibrio phage 1.031.O._10N.261.46.F8,North America,198,
35921,Vibrio phage 1.032.O._10N.261.54.F5,North America,94,
35922,Vibrio phage 1.033.O._10N.222.49.B8,North America,89,
35923,Vibrio phage 1.034.O._10N.261.46.B7,North America,67,
35924,Vibrio phage 1.034.X._10N.261.46.B7,North America,68,
35925,Vibrio phage 1.036.O._10N.286.45.C3,North America,62,
35926,Vibrio phage 1.037.O._10N.261.52.F7,North America,50,
35927,Vibrio phage 1.038.O._10N.286.51.C2,North America,89,
35928,Vibrio phage 1.039.O._10N.286.55.A2,North America,68,
35929,Vibrio phage 1.040.O._10N.286.45.B9,North America,21,
35930,Vibrio phage 1.042.O._10N.286.45.B8,North America,95,
35931,Vibrio phage 1.043.O._10N.261.52.C7,North America,21,
35932,Vibrio phage 1.046.O._10N.286.52.E3,North America,89,
35933,Vibrio phage 1.047.O._10N.286.55.F2,North America,73,
35934,Vibrio phage 1.048.O._10N.286.46.A10,North America,22,
35935,Vibrio phage 1.049.O._10N.286.54.B5,North America,60,
35936,Vibrio phage 1.050.O._10N.286.48.A6,North America,60,
35937,Vibrio phage 1.052.A._10N.286.46.C3,North America,75,
35938,Vibrio phage 1.054.O._10N.261.52.A1,North America,72,
35939,Vibrio phage 1.055.O._10N.286.55.E9,North America,66,
35940,Vibrio phage 1.056.O._10N.261.48.C11,North America,53,
35941,Vibrio phage 1.057.O._10N.261.46.B12,North America,21,
35942,Vibrio phage 1.060.A._10N.261.48.B5,North America,65,
35943,Vibrio phage 1.061.O._10N.286.55.C2,North America,65,
35944,Vibrio phage 1.062.O._10N.286.55.C3,North America,21,
35945,Vibrio phage 1.063.O._10N.261.45.C7,North America,231,
35946,Vibrio phage 1.064.O._10N.261.52.E2,North America,61,
35947,Vibrio phage 1.066.O._10N.286.46.E8,North America,53,
35948,Vibrio phage 1.067.O._10N.261.52.C9,North America,78,
35949,Vibrio phage 1.068.O._10N.261.51.F8,North America,53,
35950,Vibrio phage 1.069.O._10N.286.49.F11,North America,21,
35951,Vibrio phage 1.070.O._10N.261.45.B2,North America,66,
35952,Vibrio phage 1.071.A._10N.286.46.A12,North America,87,
35953,Vibrio phage 1.072.O._10N.286.48.A12,North America,51,
35954,Vibrio phage 1.074.O._10N.222.49.B7,North America,64,
35955,Vibrio phage 1.075.O._10N.286.55.B10,North America,73,
35956,Vibrio phage 1.076.O._10N.286.51.B7,North America,73,
35957,Vibrio phage 1.077.O._10N.261.45.A10,North America,66,
35958,Vibrio phage 1.079.O._10N.286.45.E9,North America,72,
35959,Vibrio phage 1.081.O._10N.286.52.C2,North America,354,
35960,Vibrio phage 1.082.O._10N.261.49.E4,North America,57,
35961,Vibrio phage 1.083.O._10N.286.52.B9,North America,61,
35962,Vibrio phage 1.084.O._10N.261.49.F5,North America,244,
35963,Vibrio phage 1.085.O._10N.222.51.E3,North America,62,
35964,Vibrio phage 1.086.O._10N.222.51.F8,North America,68,
35965,Vibrio phage 1.087.A._10N.261.45.F9,North America,67,
35966,Vibrio phage 1.088.O._10N.261.46.A1,North America,90,
35967,Vibrio phage 1.089.O._10N.261.51.F9,North America,97,
35968,Vibrio phage 1.090.B._10N.286.48.F1,North America,68,
35969,Vibrio phage 1.091.O._10N.286.52.B12,North America,75,
35970,Vibrio phage 1.093.O._10N.286.55.E10,North America,73,
35971,Vibrio phage 1.094.O._10N.286.55.E12,North America,73,
35972,Vibrio phage 1.095.O._10N.286.46.E10,North America,22,
35973,Vibrio phage 1.098.O._10N.286.51.B9,North America,97,
35974,Vibrio phage 1.100.O._10N.261.45.C3,North America,70,
35975,Vibrio phage 1.101.O._10N.261.45.C6,North America,224,
35976,Vibrio phage 1.102.O._10N.261.45.E3,North America,22,
35977,Vibrio phage 1.103.O._10N.261.52.F2,North America,93,
35978,Vibrio phage 1.104.O._10N.286.49.A12,North America,93,
35979,Vibrio phage 1.105.O._10N.286.49.B4,North America,80,
35980,Vibrio phage 1.106.O._10N.286.51.F7,North America,77,
35981,Vibrio phage 1.107.A._10N.286.52.E10,North America,22,
35982,Vibrio phage 1.107.B._10N.286.52.E10,North America,22,
35983,Vibrio phage 1.107.C._10N.286.52.E10,North America,22,
35984,Vibrio phage 1.108.O._10N.222.51.A4,North America,62,
35985,Vibrio phage 1.110.O._10N.261.52.C1,North America,66,
35986,Vibrio phage 1.111.A._10N.286.45.E6,North America,62,
35987,Vibrio phage 1.111.B._10N.286.45.E6,North America,62,
35988,Vibrio phage 1.112.O._10N.286.46.B11,North America,83,
35989,Vibrio phage 1.113.A._10N.286.51.E7,North America,74,
35990,Vibrio phage 1.115.A._10N.222.49.B11,North America,71,
35991,Vibrio phage 1.115.B._10N.222.49.B11,North America,71,
35992,Vibrio phage 1.116.O._10N.222.52.C10,North America,61,
35993,Vibrio phage 1.117.O._10N.261.45.E9,North America,82,
35994,Vibrio phage 1.118.A._10N.261.49.F6,North America,96,
35995,Vibrio phage 1.118.B._10N.261.49.F6,North America,96,
35996,Vibrio phage 1.119.O._10N.261.51.A9,North America,76,
35997,Vibrio phage 1.121.O._10N.286.46.C4,North America,263,
35998,Vibrio phage 1.122.A._10N.286.46.F8,North America,69,
35999,Vibrio phage 1.122.B._10N.286.46.F8,North America,69,
36000,Vibrio phage 1.123.O._10N.286.48.F3,North America,72,
36001,Vibrio phage 1.124.O._10N.286.49.B1,North America,70,
36002,Vibrio phage 1.125.O._10N.286.49.F5,North America,21,
36003,Vibrio phage 1.127.O._10N.286.52.E12,North America,77,
36004,Vibrio phage 1.131.O._10N.222.49.A8,North America,67,
36005,Vibrio phage 1.132.O._10N.222.49.F8,North America,65,
36006,Vibrio phage 1.133.O._10N.222.51.E4,North America,66,
36007,Vibrio phage 1.134.O._10N.222.52.B8,North America,62,
36008,Vibrio phage 1.135.O._10N.222.54.B6,North America,75,
36009,Vibrio phage 1.136.O._10N.261.45.E11,North America,50,
36010,Vibrio phage 1.137.O._10N.261.46.B5,North America,69,
36011,Vibrio phage 1.138.O._10N.261.48.A1,North America,45,
36012,Vibrio phage 1.139.A._10N.261.48.C6,North America,67,
36013,Vibrio phage 1.139.B._10N.261.48.C6,North America,68,
36014,Vibrio phage 1.141.A._10N.261.49.B3,North America,19,
36015,Vibrio phage 1.142.O._10N.261.49.E11,North America,50,
36016,Vibrio phage 1.143.O._10N.261.55.C8,North America,76,
36017,Vibrio phage 1.144.O._10N.286.45.B3,North America,75,
36018,Vibrio phage 1.147.O._10N.286.49.E9,North America,66,
36019,Vibrio phage 1.148.O._10N.286.54.A10,North America,65,
36020,Vibrio phage 1.149.O._10N.286.55.A12,North America,79,
36021,Vibrio phage 1.150.O._10N.222.46.A6,North America,108,
36022,Vibrio phage 1.151.O._10N.222.46.B1,North America,64,
36023,Vibrio phage 1.152.O._10N.222.46.E1,North America,108,
36024,Vibrio phage 1.154.O._10N.222.52.B12,North America,60,
36025,Vibrio phage 1.155.O._10N.222.55.B3,North America,45,
36026,Vibrio phage 1.156.O._10N.261.45.A6,North America,50,
36027,Vibrio phage 1.157.O._10N.261.45.B7,North America,59,
36028,Vibrio phage 1.158.O._10N.261.45.E12,North America,72,
36029,Vibrio phage 1.159.O._10N.261.46.F12,North America,50,
36030,Vibrio phage 1.160.O._10N.261.48.B11,North America,93,
36031,Vibrio phage 1.161.O._10N.261.48.C5,North America,228,
36032,Vibrio phage 1.162.O._10N.261.48.E3,North America,66,
36033,Vibrio phage 1.164.O._10N.261.51.A7,North America,64,
36034,Vibrio phage 1.165.O._10N.261.51.B7,North America,61,
36035,Vibrio phage 1.166.O._10N.261.51.C7,North America,35,
36036,Vibrio phage 1.167.O._10N.261.51.F2,North America,66,
36037,Vibrio phage 1.168.O._10N.261.52.A10,North America,66,
36038,Vibrio phage 1.170.O._10N.261.52.C3,North America,214,
36039,Vibrio phage 1.171.O._10N.261.52.F12,North America,88,
36040,Vibrio phage 1.172.O._10N.261.52.F5,North America,61,
36041,Vibrio phage 1.173.O._10N.261.55.A11,North America,84,
36042,Vibrio phage 1.174.O._10N.261.55.A8,North America,68,
36043,Vibrio phage 1.175.O._10N.261.55.B3,North America,74,
36044,Vibrio phage 1.176.O._10N.261.55.F5,North America,63,
36045,Vibrio phage 1.177.O._10N.286.45.E10,North America,80,
36046,Vibrio phage 1.178.O._10N.286.45.E12,North America,74,
36047,Vibrio phage 1.179.O._10N.286.45.F12,North America,45,
36048,Vibrio phage 1.181.O._10N.286.46.C9,North America,78,
36049,Vibrio phage 1.182.O._10N.286.46.E1,North America,56,
36050,Vibrio phage 1.183.O._10N.286.48.B7,North America,41,
36051,Vibrio phage 1.184.A._10N.286.49.A5,North America,48,
36052,Vibrio phage 1.185.O._10N.286.49.C2,North America,48,
36053,Vibrio phage 1.186.O._10N.286.49.E3,North America,78,
36054,Vibrio phage 1.187.O._10N.286.49.F1,North America,255,
36055,Vibrio phage 1.188.B._10N.286.51.A6,North America,86,
36056,Vibrio phage 1.188.C._10N.286.51.A6,North America,86,
36057,Vibrio phage 1.189.B._10N.286.51.B5,North America,66,
36058,Vibrio phage 1.189.C._10N.286.51.B5,North America,66,
36059,Vibrio phage 1.189.O._10N.286.51.B5,North America,66,
36060,Vibrio phage 1.190.O._10N.286.51.F12,North America,35,
36061,Vibrio phage 1.191.O._10N.286.52.B4,North America,72,
36062,Vibrio phage 1.193.O._10N.286.52.C6,North America,249,
36063,Vibrio phage 1.194.O._10N.286.54.B1,North America,85,
36064,Vibrio phage 1.195.O._10N.286.54.C8,North America,88,
36065,Vibrio phage 1.196.O._10N.286.54.E12,North America,85,
36066,Vibrio phage 1.197.A._10N.286.54.F2,North America,71,
36067,Vibrio phage 1.198.A._10N.286.54.F4,North America,79,
36068,Vibrio phage 1.198.B._10N.286.54.F4,North America,78,
36069,Vibrio phage 1.199.A._10N.286.55.C10,North America,77,
36070,Vibrio phage 1.199.B._10N.286.55.C10,North America,77,
36071,Vibrio phage 1.200.O._10N.286.55.E1,North America,85,
36072,Vibrio phage 1.201.B._10N.286.55.F1,North America,73,
36073,Vibrio phage 1.205.O._10N.222.51.A7,North America,70,
36074,Vibrio phage 1.206.O._10N.222.51.B10,North America,62,
36075,Vibrio phage 1.207.B._10N.222.51.C2,North America,81,
36076,Vibrio phage 1.208.B._10N.222.52.A7,North America,69,
36077,Vibrio phage 1.209.O._10N.222.52.B2,North America,65,
36078,Vibrio phage 1.210.O._10N.222.52.C2,North America,74,
36079,Vibrio phage 1.211.A._10N.222.52.F11,North America,40,
36080,Vibrio phage 1.211.B._10N.222.52.F11,North America,40,
36081,Vibrio phage 1.213.O._10N.222.54.F10,North America,73,
36082,Vibrio phage 1.214.O._10N.222.54.F11,North America,69,
36083,Vibrio phage 1.215.A._10N.222.54.F7,North America,105,
36084,Vibrio phage 1.215.B._10N.222.54.F7,North America,105,
36085,Vibrio phage 1.216.O._10N.222.55.C12,North America,69,
36086,Vibrio phage 1.217.O._10N.261.45.A1,North America,50,
36087,Vibrio phage 1.219.O._10N.261.45.E2,North America,50,
36088,Vibrio phage 1.223.O._10N.261.48.A9,North America,70,
36089,Vibrio phage 1.225.O._10N.261.48.B7,North America,75,
36090,Vibrio phage 1.226.O._10N.261.48.E5,North America,67,
36091,Vibrio phage 1.228.O._10N.261.49.C1,North America,64,
36092,Vibrio phage 1.231.O._10N.261.49.F8,North America,76,
36093,Vibrio phage 1.232.O._10N.261.51.E11,North America,79,
36094,Vibrio phage 1.233.A._10N.261.51.E6,North America,60,
36095,Vibrio phage 1.233.B._10N.261.51.E6,North America,60,
36096,Vibrio phage 1.235.O._10N.261.52.B2,North America,59,
36097,Vibrio phage 1.236.O._10N.261.52.C4,North America,67,
36098,Vibrio phage 1.237.A._10N.261.52.C5,North America,95,
36099,Vibrio phage 1.237.B._10N.261.52.C5,North America,95,
36100,Vibrio phage 1.238.A._10N.261.52.F10,North America,186,
36101,Vibrio phage 1.238.B._10N.261.52.F10,North America,94,
36102,Vibrio phage 1.239.O._10N.261.52.F6,North America,64,
36103,Vibrio phage 1.240.O._10N.261.52.F8,North America,59,
36104,Vibrio phage 1.242.O._10N.261.54.B2,North America,64,
36105,Vibrio phage 1.243.O._10N.261.54.B5,North America,79,
36106,Vibrio phage 1.244.A._10N.261.54.C3,North America,211,
36107,Vibrio phage 1.245.O._10N.261.54.C7,North America,188,
36108,Vibrio phage 1.246.O._10N.261.54.E10,North America,67,
36109,Vibrio phage 1.247.A._10N.261.54.E12,North America,70,
36110,Vibrio phage 1.247.B._10N.261.54.E12,North America,70,
36111,Vibrio phage 1.248.O._10N.261.54.F1,North America,80,
36112,Vibrio phage 1.249.B._10N.261.55.B9,North America,22,
36113,Vibrio phage 1.250.O._10N.261.55.E11,North America,94,
36114,Vibrio phage 1.251.O._10N.261.55.E5,North America,92,
36115,Vibrio phage 1.253.O._10N.286.45.B12,North America,59,
36116,Vibrio phage 1.254.O._10N.286.45.C8,North America,45,
36117,Vibrio phage 1.255.O._10N.286.45.F1,North America,211,
36118,Vibrio phage 1.256.O._10N.286.45.F8,North America,76,
36119,Vibrio phage 1.257.O._10N.286.46.A4,North America,47,
36120,Vibrio phage 1.259.O._10N.286.48.F4,North America,42,
36121,Vibrio phage 1.262.O._10N.286.51.A9,North America,74,
36122,Vibrio phage 1.263.A._10N.286.51.B1,North America,76,
36123,Vibrio phage 1.263.B._10N.286.51.B1,North America,76,
36124,Vibrio phage 1.264.O._10N.286.51.F2,North America,67,
36125,Vibrio phage 1.265.O._10N.286.52.F6,North America,70,
36126,Vibrio phage 1.266.O._10N.286.52.F9,North America,59,
36127,Vibrio phage 1.267.O._10N.286.54.A1,North America,85,
36128,Vibrio phage 1.268.A._10N.286.54.A11,North America,85,
36129,Vibrio phage 1.268.B._10N.286.54.A11,North America,85,
36130,Vibrio phage 1.269.O._10N.286.54.A6,North America,88,
36131,Vibrio phage 1.270.A._10N.286.54.A8,North America,85,
36132,Vibrio phage 1.270.B._10N.286.54.A8,North America,85,
36133,Vibrio phage 1.271.A._10N.286.54.B4,North America,85,
36134,Vibrio phage 1.271.B._10N.286.54.B4,North America,85,
36135,Vibrio phage 1.272.O._10N.286.54.C4,North America,85,
36136,Vibrio phage 1.273.O._10N.286.54.C7,North America,78,
36137,Vibrio phage 1.274.O._10N.286.54.E1,North America,85,
36138,Vibrio phage 1.275.O._10N.286.54.E11,North America,53,
36139,Vibrio phage 1.276.O._10N.286.54.E4,North America,72,
36140,Vibrio phage 1.277.A._10N.286.54.E7,North America,85,
36141,Vibrio phage 1.277.B._10N.286.54.E7,North America,85,
36142,Vibrio phage 1.278.O._10N.286.54.E8,North America,82,
36143,Vibrio phage 1.280.O._10N.286.54.F6,North America,85,
36144,Vibrio phage 1.281.O._10N.286.54.F7,North America,85,
36145,Vibrio phage 1.282.A._10N.286.54.F8,North America,85,
36146,Vibrio phage 1.283.A._10N.286.55.A1,North America,85,
36147,Vibrio phage 1.283.B._10N.286.55.A1,North America,85,
36148,Vibrio phage 1.283.C._10N.286.55.A1,North America,85,
36149,Vibrio phage 1.284.A._10N.286.55.A5,North America,71,
36150,Vibrio phage 1.285.O._10N.286.55.C12,North America,93,
36151,Vibrio phage 1.286.O._10N.286.55.C4,North America,82,
36152,Vibrio phage 1.287.O._10N.286.55.C7,North America,71,
36153,Vibrio phage 1.289.A._10N.286.55.E8,North America,70,
36154,Vibrio phage 1.291.O._10N.286.55.F6,North America,74,
36155,Vibrio phage 1.293.O._10N.261.52.E1,North America,76,
36156,Vibrio phage 1032,North America,3,
36157,Vibrio phage 2.044.O._10N.261.51.B8,North America,53,
36158,Vibrio phage 2.058.O._10N.286.46.B8,North America,143,
36159,Vibrio phage 2.092.O._10N.286.52.B7,North America,21,
36160,Vibrio phage 2.095.A._10N.286.46.E10,North America,77,
36161,Vibrio phage 2.095.B._10N.286.46.E10,North America,77,
36162,Vibrio phage 2.096.O._10N.286.48.B5,North America,57,
36163,Vibrio phage 2.117.O._10N.261.45.E9,North America,82,
36164,Vibrio phage 2.130.O._10N.222.46.C2,North America,107,
36165,Vibrio phage 2.159.A._10N.261.46.F12,North America,50,
36166,Vibrio phage 2.159.B._10N.261.46.F12,North America,50,
36167,Vibrio phage 2.275.O._10N.286.54.E11,North America,489,
36168,Vibrio phage 2TSL2019,Oceans and Seas,434,
36169,Vibrio phage 3.058.O._10N.286.46.B8,North America,143,
36170,Vibrio phage 4e,North America,3,
36171,Vibrio phage 5 TSL-2019,Oceans and Seas,212,
36172,Vibrio phage 512,North America,3,
36173,Vibrio phage 5312,South America,3,
36174,Vibrio phage 536,Europa,13,
36175,Vibrio phage 5486,South America,3,
36176,Vibrio phage 5e,North America,3,
36177,Vibrio phage 6e,North America,3,
36178,Vibrio phage ABurr,North America,195,
36179,Vibrio phage AG74,North America,382,
36180,Vibrio phage Ares1,Europa,119,
36181,Vibrio phage Athena,North America,384,
36182,Vibrio phage BBMuffin,North America,196,
36183,Vibrio phage BONAISHI,Asia,301,
36184,Vibrio phage BUCT006,Asia,65,
36185,Vibrio phage BUCT194,Asia,106,
36186,Vibrio phage Bennett,North America,386,
36187,Vibrio phage Brizo,North America,362,
36188,Vibrio phage CHOED,South America,182,
36189,Vibrio phage CJY,Asia,48,
36190,Vibrio phage CKB-S1,Asia,58,
36191,Vibrio phage CKB-S2,Asia,49,
36192,Vibrio phage CP-T1,North America,140,
36193,Vibrio phage Chazly21,North America,194,
36194,Vibrio phage Chester,North America,382,
36195,Vibrio phage Cilsick,North America,192,
36196,Vibrio phage Cla,South America,90,
36197,Vibrio phage Cody,North America,384,
36198,Vibrio phage Dax,North America,194,
36199,Vibrio phage Direpillow8,North America,205,
36200,Vibrio phage GRLPWR,North America,200,
36201,Vibrio phage Gary,North America,398,
36202,Vibrio phage H1,Asia,48,
36203,Vibrio phage H188,Asia,76,
36204,Vibrio phage H2 PGK-2017,Europa,75,
36205,Vibrio phage H2 SGB-2014,Asia,48,
36206,Vibrio phage H20,Europa,90,
36207,Vibrio phage H3,Asia,48,
36208,Vibrio phage HH109,Asia,2,
36209,Vibrio phage HNL01,North America,166,
36210,Vibrio phage ICP1_2006_E,Asia,233,
36211,Vibrio phage ICP1_2011_A,Asia,228,
36212,Vibrio phage ICP1_2011_B,Asia,218,
36213,Vibrio phage ICP1_2012_A,Asia,216,
36214,Vibrio phage ICP1_2017_F_Mathbaria,Asia,224,
36215,Vibrio phage J14,Asia,234,
36216,Vibrio phage J2,Asia,96,
36217,Vibrio phage J3,Asia,49,
36218,Vibrio phage JSF1,Asia,227,
36219,Vibrio phage JSF11,Asia,50,
36220,Vibrio phage JSF13,Asia,225,
36221,Vibrio phage JSF14,Asia,217,
36222,Vibrio phage JSF15,Asia,46,
36223,Vibrio phage JSF17,Asia,217,
36224,Vibrio phage JSF18,Asia,47,
36225,Vibrio phage JSF2,Asia,229,
36226,Vibrio phage JSF20,Asia,48,
36227,Vibrio phage JSF23,Asia,69,
36228,Vibrio phage JSF24,Asia,48,
36229,Vibrio phage JSF27,Asia,69,
36230,Vibrio phage JSF28,Asia,48,
36231,Vibrio phage JSF3,Asia,224,
